company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barnes & Noble,Specialty Retail Stores,Yes,BKS, , , , , , ,,,,,,,83,83,84,82,79,82,82,81,79,81,81,81,81,
Best Buy,Specialty Retail Stores,Yes,BBY, , , , , , ,,,72,72,71,76,74,74,74,77,77,78,77,77,74,77,78,78,77,
Borders,Specialty Retail Stores,No,N/A, , , , , , ,,,,,,,81,79,81,80,, , , , , , , , ,
Circuit City Stores,Specialty Retail Stores,No,N/A, , , , , , ,,,73,72,70,69,71,72,, , , , , , , , , , ,
Costco,Department and Discount Stores,Yes,COST, , , , ,79,77,76,79,80,79,79,81,81,83,81,82,83,83,84,84,81,83,83,83,83,
Gap,Specialty Retail Stores,Yes,GPS, , , , , , ,,,,,,,75,75,75,74,77,76,77,75,75,79,77,78,79,
BP Amoco,Gasoline Stations,No,N/A,,,, ,76,76,,,,,,,,,,,,,,,,,,,,
BP,Gasoline Stations,Yes,BP,,,,81,, ,,,,,,,,,,,,,,,,,,,,
E*Trade,Internet Investment Services,Yes,ETFC, , , , , ,66,66,69,71,70,71,74,73,69,74,76,79,73,76,76,74,80,79,79,78,
Fidelity,Internet Investment Services,No,N/A, , , , , ,,,,,,,80,84,80,79,78,79,78,81,76,77,81,80,79,81,
TD Ameritrade,Internet Investment Services,Yes,AMTD, , , , , ,,,,,,,77,80,71,76,77,78,77,74,74,73,78,79,77,79,
1-800-FLOWERS.COM,Internet Retail,Yes,FLWS, , , , , ,69,76,78,76,79,77,77,,,,,,,,,,,,,,
Amazon,Internet Retail,Yes,AMZN, , , , , ,84,84,88,88,84,87,87,88,86,86,87,86,85,88,86,83,86,85,82,83,
barnesandnoble.com,Internet Retail,No,N/A, , , , , ,77,82,87,86,87,87,88,,,,,,,,,,,,,,
Buy.com,Internet Retail,No,N/A, , , , , ,78,78,80,80,80,80,81,,,,,,,,,,,,,,
eBay,Internet Retail,Yes,EBAY, , , , , ,80,82,82,84,80,81,80,81,78,79,81,81,83,80,79,75,81,81,80,79,
Egghead.com,Internet Retail,No,N/A, , , , , ,73,, , , , , , , , , , , , , , , , , , ,
Newegg,Internet Retail,No,N/A, , , , , ,,,,,,,,87,88,86,84,85,84,83,81,79,83,83,80,81,
Overstock,Internet Retail,Yes,OSTK, , , , , ,,,,,,,,80,82,82,83,83,81,79,77,73,79,81,80,79,
uBid.com,Internet Retail,No,N/A, , , , , ,67,69,70,73,73,73,74,,,,,,,,,,,,,,
Amoco,Gasoline Stations,No,N/A,81,80,79,83,,,,,,,,,,,,,,,,,,,,,,
Atlantic Richfield,Gasoline Stations,No,N/A,78,72,74,74,,,,,,,,,,,,,,,,,,,,,,
Home Depot,Specialty Retail Stores,Yes,HD, , , , , , ,75,71,73,73,67,70,67,70,72,75,78,77,79,76,73,80,76,76,78,
Lowe's,Specialty Retail Stores,Yes,LOW, , , , , , ,75,76,77,76,78,74,75,76,79,77,79,79,82,81,74,79,78,78,78,
Southeastern Grocers,Supermarkets,No,N/A,75,75,74,74,71,74,72,73,73,72,73,76,71,73,74,76,75,78,77,79,74,77,78,76,76,
Microsoft,Computer Software,Yes,MSFT, , , , , , , , , , , ,73,70,69,70,76,78,75,74,75,75,80,76,79,77,
BellSouth,Fixed-Line Telephone Service,No,N/A,83,83,78,78,76,75,74,74,74,73,70,71,, , , , , , , , , , , , ,
CenturyLink,Fixed-Line Telephone Service,Yes,CTL,83,80,76,76,74,70,71,74,73,65,66,64,66,70,68,70,70,66,71,71,70,68,66,66,65,
Xfinity (Comcast),Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,69,67,69,67,68,69,67,71,67,64,64,65,66,67,
Cox Communications,Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,76,70,74,74,74,72,71,74,70,68,68,68,65,67,
GTE,Fixed-Line Telephone Service,No,N/A,72,72,68,65,63,69,, , , , , , , , , , , , , , , , , , ,
MCI,Fixed-Line Telephone Service,No,N/A,75,78,72,74,73,70,70,70,67,70,70,, , , , , , , , , , , , , ,
NYNEX,Fixed-Line Telephone Service,No,N/A,79,75,66,, , , , , , , , , , , , , , , , , , , , , ,
Pacific Telesis,Fixed-Line Telephone Service,No,N/A,78,80,72,, , , , , , , , , , , , , , , , , , , , , ,
Qwest Communications,Fixed-Line Telephone Service,No,N/A, , , , , , ,61,56,62,64,69,70,72,73,71,72,73,, , , , , , , ,
SBC Communications,Fixed-Line Telephone Service,No,N/A,80,77,71,71,71,70,66,67,67,68,71,, , , , , , , , , , , , , ,
US WEST,Fixed-Line Telephone Service,No,N/A,76,74,71,68,67,64,, , , , , , , , , , , , , , , , , , ,
Fox Entertainment,Motion Pictures,Yes,FOX,79,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Foods (Amazon),Supermarkets,Yes,WFM,,,,,,,,,,,,,73,75,76,79,80,80,78,81,73,81,81,79,79,
Walmart,Supermarkets,Yes,WMT,,,,,,,,,,70,70,69,71,68,71,71,69,72,72,71,67,74,73,72,73,
Office Depot,Specialty Retail Stores,Yes,ODP, , , , , , ,,,,,,,78,75,76,81,79,84,79,78,,79,77,77,76,
OfficeMax,Specialty Retail Stores,No,N/A, , , , , , ,,,,,,,76,74,77,74,78,78,82,, , , , , ,
Sam's Club (Walmart),Department and Discount Stores,Yes,WMT, ,75,72,75,78,74,78,77,77,75,76,78,77,79,79,78,81,80,80,80,76,81,80,80,81,
Staples,Specialty Retail Stores,No,N/A, , , , , , ,,,,,,,77,76,77,81,79,79,81,79,75,80,78,78,77,
TJX,Specialty Retail Stores,Yes,TJX, , , , , , ,,,,,,,74,73,78,76,78,76,79,78,78,80,80,79,79,
Albertsons Companies,Supermarkets,Yes,ACI,77,77,72,70,73,70,72,73,73,69,71,,,,,,,,,74,68,75,76,75,75,
American Stores,Supermarkets,No,N/A,73,74,68,, , , , , , , , , , , , , , , , , , , , , ,
"Delhaize America (Food Lion, Hannaford)",Supermarkets,No,N/A,76,73,73,73,71,73,,,,,,,,,,,,,,77,76,, , , ,
A&P,Supermarkets,No,N/A,67,68,,,,,,,,,,,,,,,,,,,70,, , , ,
Kroger,Supermarkets,Yes,KR,76,74,74,73,74,71,75,75,71,73,74,76,75,77,78,78,79,79,80,78,76,79,81,79,79,
Meijer,Supermarkets,No,N/A,79,77,,,,,,,,,,,,,,,,,,,74,78,79,78,78,
Publix,Supermarkets,No,N/A,82,80,79,79,82,77,81,81,82,81,81,83,83,82,86,84,84,86,86,82,82,84,86,84,83,
Safeway,Supermarkets,No,N/A,73,73,70,71,72,76,75,76,71,72,71,74,72,75,72,74,75,75,76,75,, , , , ,
Supervalu,Supermarkets,No,N/A,77,75,74,77,75,75,76,77,77,75,77,74,74,74,77,74,74,76,77,75,71,76,77,76,76,
Paramount Communications,Motion Pictures,No,N/A,79,,,,,,,,,,,,,,,,,,,,,,,,,
Wikipedia,Internet Social Media,No,N/A, ,,, , , , , , , , , , , , ,77,78,78,78,74,77,78,77,77,74,
Chase,Banks,Yes,JPM, ,,, , , , , , ,70,70,72,74,73,68,67,70,74,76,74,71,75,79,80,79,
HealthTrust EPIC,Hospitals,No,N/A,70,,,,,,,,,,,,,,,,,,,,,,,,,
HCA,Hospitals,Yes,HCA,73,,,,,,,,,,,,,,,,,,,,,,,,,
American Medical Holdings,Hospitals,No,N/A,73,,,,,,,,,,,,,,,,,,,,,,,,,
Applebee's,Full-Service Restaurants,No,N/A, ,,,,,,,,,,,,,,,,,77,82,78,78,79,79,78,77,
Apple,Cellular Telephones,Yes,AAPL, , , ,,,,,,,,,,,,,,,83,81,79,80,81,81,81,81,
HTC,Cellular Telephones,No,N/A, , , ,,,,,,,,,,,,,,,75,72,75,77,75,76,76,,
LG,Cellular Telephones,No,N/A,,,,,,,,,,,,,,,,,,75,71,73,74,74,74,77,78,
Subway,Limited-Service Restaurants,No,N/A,,,,,,,,,,,,,,,,,,82,83,78,77,80,81,80,79,
Dunkin',Limited-Service Restaurants,Yes,DNKN,,,,,,,,,,,,,,,,,,79,80,75,78,80,79,78,78,
JetBlue,Airlines,Yes,JBLU,,,,,,,,,,,,,,,,,,81,83,79,81,80,82,79,79,
Google+,Internet Social Media,No,N/A, , , ,,,,,,,,,,,,,,,78,71,71,75,76,81,79,,
Pinterest,Internet Social Media,Yes,PINS, , , ,,,,,,,,,,,,,,,69,72,76,78,76,78,80,80,
Twitter,Internet Social Media,Yes,TWTR, , , ,,,,,,,,,,,,,,,64,65,69,71,65,70,66,69,
LinkedIn (Microsoft),Internet Social Media,Yes,MSFT, , , ,,,,,,,,,,,,,,,63,62,67,68,65,65,66,69,
Travelers Group,Life Insurance,Yes,TRV,, , , , , , , , , , , , , , , , , , , , , , , , ,
Prudential,Life Insurance,Yes,PRU,74,68,70,71,69,71,76,74,73,77,72,76,77,79,77,77,79,79,78,79,77,77,78,77,78,
KeyBank,Banks,Yes,KEY,76,70,65,65,,,,,,,,,,,,,,,,,,80,75,77,76,
NationsBank,Banks,No,N/A,73,68,64,, , , , , , , , , , , , , , , , , , , , , ,
Norwest,Banks,No,N/A,76,71,70,, , , , , , , , , , , , , , , , , , , , , ,
PNC Bank,Banks,Yes,PNC,,69,69,66,,67,,,,,,,,,,,,,,,78,78,78,78,79,
Wachovia,Banks,No,N/A, , , , , , ,72,73,76,78,79,80,79,76,, , , , , , , , , , ,
Wells Fargo,Banks,Yes,WFC,71,65,62,67,65,67,66,69,68,70,67,72,69,72,73,73,73,71,72,72,75,76,74,74,76,
Aetna (CVS Health),Health Insurance,Yes,CVS, , , , , , ,64,65,66,63,65,65,66,65,70,68,67,67,69,65,68,75,74,75,76,
Blue Cross and Blue Shield,Health Insurance,No,N/A, , , , , , ,66,70,69,67,68,72,71,73,73,70,68,73,74,69,70,71,71,70,71,
UnitedHealth,Health Insurance,Yes,UNH, , , , , , ,66,68,64,66,64,68,65,63,72,65,72,70,70,72,66,70,73,73,75,
Anthem,Health Insurance,Yes,ANTM, , , , , , ,,,,,,69,66,68,67,69,74,70,73,66,69,75,,,,
Aetna Life & Casualty,Life Insurance,No,N/A,73,73,, , , , , , , , , , , , , , , , , , , , , , ,
MetLife,Life Insurance,Yes,MET,73,74,75,76,73,72,74,75,77,77,71,78,76,78,77,78,77,78,77,76,75,76,77,81,79,
New York Life,Life Insurance,No,N/A,,75,75,74,78,73,77,81,78,76,76,77,79,77,80,78,80,80,80,77,79,82,80,84,82,
Northwestern Mutual,Life Insurance,No,N/A,,,,,79,80,78,80,78,78,78,78,79,78,81,80,81,79,78,76,78,79,83,83,,
Toshiba,Personal Computers,Yes,TOSBF,,,,,,,,,,,,,,,,,,77,78,75,73,76,75,71,77,
Dillard's,Department and Discount Stores,Yes,DDS,74,74,73,71,68,72,75,75,75,77,76,75,76,75,78,78,80,79,81,81,80,83,79,79,78,
Target (Discount Stores),Department and Discount Stores,Yes,TGT,76,77,73,74,74,73,77,78,77,, , , , , , , , , , , , , , , ,
CVS,Health and Personal Care Stores,Yes,CVS, , , , , , , , , , ,74,78,76,77,77,74,73,75,76,75,71,76,78,77,77,
Rite Aid,Health and Personal Care Stores,No,N/A, , , , , , , , , , ,72,75,73,76,76,75,75,77,74,78,69,78,77,76,75,
Walgreens,Health and Personal Care Stores,Yes,WBA, , , , , , , , , , ,76,76,78,77,77,77,75,76,76,77,74,76,77,77,75,
Procter & Gamble,Personal Care and Cleaning Products,Yes,PG,87,85,81,83,81,84,82,81,85,86,82,84,85,85,85,82,82,82,84,82,75,83,82,82,84,
Acura (Honda),Automobiles and Light Vehicles,Yes,HMC,,,,,,,,,,,,,,,,,,,83,77,83,76,80,81,78,
Spectrum (Charter Communications),Fixed-Line Telephone Service,Yes,CHTR,,,,,,,,,,,,,,,,,,,72,69,69,65,71,66,67,
Time Warner Cable (Charter Communications),Fixed-Line Telephone Service,No,N/A,,,,,,,,,,,,,,,,,,,68,65,63,64,67,, ,
Fios (Verizon Communications),Internet Service Providers,No,N/A, , , , , , , , , , , , , , , , , , ,71,71,68,73,71,70,70,
Cox Communications,Internet Service Providers,No,N/A, , , , , , , , , , , , , , , , , , ,68,64,58,63,62,59,60,
Spectrum (Charter Communications),Internet Service Providers,Yes,CHTR, , , , , , , , , , , , , , , , , , ,65,61,57,63,65,60,59,
CenturyLink,Internet Service Providers,Yes,CTL, , , , , , , , , , , , , , , , , , ,64,65,60,63,59,58,59,
Time Warner Cable (Charter Comm.),Internet Service Providers,No,N/A, , , , , , , , , , , , , , , , , , ,63,54,58,66,62,, ,
Xfinity (Comcast),Internet Service Providers,Yes,CMCSA, , , , , , , , , , , , , , , , , , ,62,57,56,59,60,60,61,
Target (Department Stores),Department and Discount Stores,Yes,TGT,76,74,72,74,72,72,74,75,73,, , , , , , , , , , , , , , , ,
Sears Roebuck,Department and Discount Stores,No,N/A,75,74,71,74,71,73,76,75,73,74,73,73,, , , , , , , , , , , , ,
Dollar General,Department and Discount Stores,Yes,DG,,,,,,,,,,,,,78,75,79,80,78,78,80,75,74,78,73,73,73,
JCPenney,Department and Discount Stores,No,N/A,77,78,75,75,75,74,75,74,77,76,78,78,77,78,79,80,82,81,79,77,74,82,79,77,78,
Macy's,Department and Discount Stores,Yes,M, , , , , , , , , , ,74,71,75,74,71,76,77,78,76,79,73,79,77,77,78,
Kohl's,Department and Discount Stores,Yes,KSS,,,,,,,,84,79,79,80,80,79,80,79,81,81,81,81,80,77,79,79,79,79,
Nordstrom,Department and Discount Stores,Yes,JWN,83,82,80,79,76,76,76,,,,,,80,80,83,82,84,84,83,86,82,80,81,79,79,
Sears,Department and Discount Stores,No,N/A, , , , , , , , , , , , ,72,72,74,75,76,75,77,73,71,77,73,70,71,
Target,Department and Discount Stores,Yes,TGT, , , , , , , , , ,75,78,77,77,77,80,78,80,81,77,80,75,79,77,77,78,
Walmart,Department and Discount Stores,Yes,WMT,81,74,76,75,72,73,75,74,75,73,72,72,68,70,71,73,70,71,71,68,66,72,71,72,71,
Meijer,Department and Discount Stores,No,N/A,76,75,,,,,,,,,,,,,,,,,,78,76,77,79,76,76,
Federated Department Stores,Department and Discount Stores,No,N/A,71,73,66,67,68,69,69,71,71,74,, , , , , , , , , , , , , , ,
Kmart,Department and Discount Stores,No,N/A,72,72,68,71,67,67,74,70,70,67,70,70,, , , , , , , , , , , , ,
May Department Stores,Department and Discount Stores,No,N/A,75,75,72,72,74,72,75,76,75,76,, , , , , , , , , , , , , , ,
Montgomery Ward,Department and Discount Stores,No,N/A,72,73,, , , , , , , , , , , , , , , , , , , , , , ,
R.H. Macy,Department and Discount Stores,No,N/A,, , , , , , , , , , , , , , , , , , , , , , , , ,
ABC,Network/Cable TV News,Yes,DIS,77,,,,,,,,,,,,,,,,,,,,,,,,,
First Union,Banks,No,N/A,73,71,74,68,68,66,, , , , , , , , , , , , , , , , , , ,
YouTube (Google),Internet Social Media,Yes,GOOGL, , , , , , , , , , , , , , , ,73,74,73,71,73,76,77,74,75,78,
Philip Morris,Cigarettes,Yes,PM,81,79,77,75,75,75,75,74,76,78,78,77,76,79,72,77,80,80,,,,,,,,
Reynolds American,Cigarettes,No,N/A,81,84,79,75,77,77,77,79,78,77,80,80,79,78,72,75,77,81,,,,,,,,
Coca-Cola,Soft Drinks,Yes,KO,85,87,84,82,84,86,81,85,83,83,84,82,84,85,84,84,85,84,84,83,79,81,85,81,81,
Keurig Dr Pepper,Soft Drinks,Yes,KDP,85,86,83,88,85,86,85,86,89,84,83,86,86,87,86,85,82,87,86,82,79,86,82,84,82,
PepsiCo,Soft Drinks,Yes,PEP,87,86,83,83,82,85,84,86,83,83,82,86,84,84,86,84,85,84,85,83,78,84,85,80,82,
Fruit of the Loom,Apparel,Yes,N/A,80,78,77,80,80,79,,,,,,,,,,,,,,,,,,,,
Hanesbrands,Apparel,Yes,HBI,81,75,81,77,78,78,76,78,80,79,79,82,82,80,82,81,82,79,81,78,74,81,79,82,80,
Premier Brands Group,Apparel,No,N/A,,,,,,,79,78,78,77,82,79,81,84,83,81,79,82,80,81,77,80,80,78,83,
Levi Strauss,Apparel,Yes,LEVI,83,80,81,75,76,79,80,78,80,80,79,79,80,78,83,81,81,82,82,80,78,81,81,79,77,
Liz Claiborne,Apparel,No,N/A,81,81,77,78,76,79,79,80,78,79,78,81,79,79,82,79,79,, , , , , , , ,
VF,Apparel,Yes,VFC,80,80,81,79,78,82,84,82,84,79,82,82,84,83,81,85,83,82,81,84,76,80,80,82,79,
Adidas,Athletic Shoes,Yes,ADS.DE,80,77,74,74,75,78,73,76,74,77,75,78,77,78,78,82,80,77,80,77,77,83,81,78,83,
Nike,Athletic Shoes,Yes,NKE,78,77,74,73,73,78,74,76,76,78,75,72,75,78,79,80,80,80,78,78,78,80,79,77,81,
Best Foods (CPC International),Food Manufacturing,No,N/A,88,,,,,,,,,,,,,,,,,,,,,,,,,
B.A.T. Industries,Cigarettes,No,N/A,87,,,,,,,,,,,,,,,,,,,,,,,,,
SABMiller,Breweries,No,N/A,82,78,81,81,81,81,78,79,79,79,81,82,83,82,83,83,84,, , , , , , , ,
Electrolux,Household Appliances,Yes,ELUX-B,,,,,,,,,,,,80,81,80,79,79,78,82,78,79,81,81,81,78,79,
GE Appliances (Haier),Household Appliances,No,N/A,84,81,78,80,80,83,83,82,81,79,81,82,81,80,77,81,79,80,80,77,82,82,78,79,80,
Kenmore,Household Appliances,No,N/A,,,,,85,85,86,83,84,85,,,,,,,,,,,,,,,,
Maytag,Household Appliances,No,N/A,87,83,85,84,84,87,83,83,81,81,81,, , , , , , , , , , , , , ,
Whirlpool,Household Appliances,Yes,WHR,82,85,82,85,84,86,83,83,82,83,81,82,84,80,83,83,82,83,82,81,80,81,80,79,80,
Acer,Personal Computers,Yes,ACIDF,,,,,,,,,,,,,,72,74,77,77,79,77,76,70,78,75,75,77,
Apple,Personal Computers,Yes,AAPL,75,76,70,69,72,75,73,73,77,81,81,83,79,85,84,86,87,86,87,84,84,84,83,83,83,
Compaq (Hewlett-Packard),Personal Computers,No,N/A,77,74,67,72,71,71,69,68,68,69,67,72,73,70,74,74,75,,, , , , , , ,
Dell,Personal Computers,Yes,DELL,,,72,74,76,80,78,76,78,79,74,78,74,75,75,77,77,81,79,76,78,78,76,73,77,
HP,Personal Computers,Yes,HPQ,80,77,75,72,74,74,73,71,70,71,73,75,76,73,74,77,78,79,80,74,73,77,77,78,78,
IBM,Personal Computers,No,N/A,78,74,71,74,73,75,71,,,,, , , , , , , , , , , , , , ,
Packard Bell,Personal Computers,No,N/A,,71,66,67,66,, , , , , , , , , , , , , , , , , , , ,
Anheuser-Busch InBev,Breweries,Yes,BUD,80,79,81,81,78,81,80,82,82,79,82,81,82,82,85,82,81,81,81,77,74,84,84,85,84,
Molson Coors,Breweries,Yes,TAP,84,79,80,84,78,82,78,79,80,78,82,83,82,83,81,81,81,, , , , ,84,81,81,
Borden Foods,Food Manufacturing,No,N/A,86,84,, , , , , , , , , , , , , , , , , , , , , , ,
Campbell Soup,Food Manufacturing,Yes,CPB,81,84,81,80,81,81,81,80,83,79,81,80,83,80,82,82,79,81,84,83,79,80,80,81,81,
H.J. Heinz,Pet Food,No,N/A, , ,85,80,81,84,81,81,, , , , , , , , , , , , , , , , ,
Hill's Pet Nutrition (Colgate-Palmolive),Pet Food,Yes,CL, , ,85,83,86,82,84,84,85,83,82,83,85,81,80,82,84,83,,,,,,,,
Iams (Procter & Gamble),Pet Food,Yes,PG, , ,,,,,80,82,85,82,81,83,82,81,85,80,81,83,,,,,,,,
Mars Petcare,Pet Food,No,N/A, , ,81,82,81,81,83,83,83,83,82,82,82,84,83,85,80,82,,,,,,,,
Nestle,Pet Food,Yes,NSRGF, , ,83,83,84,81,81,, , , , , , , , , , , , , , , , , ,
Nestle Purina PetCare,Pet Food,No,N/A, , , , , , , ,83,83,84,81,82,84,84,86,82,82,83,,,,,,,,
Ralston Purina,Pet Food,No,N/A, , ,82,81,82,85,83,, , , , , , , , , , , , , , , , , ,
Bank of America,Banks,Yes,BAC,67,65,61,62,61,63,68,70,74,72,72,72,72,73,67,68,68,66,69,69,68,75,77,76,77,
BANK ONE,Banks,No,N/A,74,69,70,68,66,70,66,70,70,, , , , , , , , , , , , , , , ,
Chase Manhattan,Banks,No,N/A,,,69,71,,,, , , , , , , , , , , , , , , , , , ,
Chemical Banking,Banks,No,N/A,70,68,, , , , , , , , , , , , , , , , , , , , , , ,
Citicorp,Banks,No,N/A,70,68,, , , , , , , , , , , , , , , , , , , , , , ,
Citibank,Banks,No,N/A,,,,,,,,,,,,72,69,69,68,69,73,70,74,74,73,82,81,79,81,
First Chicago NBD,Banks,No,N/A,,70,68,,,,,,,,, , , , , , , , , , , , , , ,
Del Monte,Pet Food,No,N/A, , , , , , , , ,84,79,83,82,83,83,80,83,82,86,,,, , , , ,
Tyson,Food Manufacturing,Yes,TSN,80,79,80,79,79,81,80,80,81,79,79,78,78,80,82,77,79,81,80,79,78,82,80,81,80,
Conagra,Food Manufacturing,Yes,CAG,83,82,80,80,80,82,81,83,84,82,86,83,83,84,78,83,83,84,83,82,80,80,82,81,81,
Dole,Food Manufacturing,No,N/A,90,85,79,82,80,82,81,82,82,79,81,82,83,83,84,82,83,83,84,83,81,86,82,85,83,
General Mills,Food Manufacturing,Yes,GIS,81,86,81,82,81,82,83,83,83,84,82,84,83,84,83,83,83,83,87,85,78,84,82,84,82,
H.J. Heinz,Food Manufacturing,No,N/A,87,90,86,86,85,90,89,88,90,88,91,87,90,89,89,88,89,89,87,87,81,, , , ,
Hershey,Food Manufacturing,Yes,HSY,88,88,84,84,86,85,86,87,85,87,86,86,87,85,87,86,84,85,86,86,79,84,86,86,84,
Kellogg,Food Manufacturing,Yes,K,84,85,81,83,81,83,83,81,82,81,81,85,83,85,85,81,80,83,85,81,80,81,81,81,80,
Kraft Heinz,Food Manufacturing,Yes,KHC,84,85,82,84,83,82,82,81,83,84,84,86,84,85,83,81,83,81,86,84,79,83,82,82,81,
Mars,Food Manufacturing,No,N/A,89,86,85,81,84,82,86,83,83,85,83,86,86,86,87,85,87,86,84,85,80,84,82,84,82,
Nabisco,Food Manufacturing,No,N/A,84,85,80,83,81,82,, , , , , , , , , , , , , , , , , , ,
Nestle (Ferrero),Food Manufacturing,Yes,NSRGF,86,82,83,83,81,84,83,83,83,83,83,84,83,83,85,84,84,85,83,85,78,84,82,82,81,
Pillsbury,Food Manufacturing,No,N/A,86,87,82,83,84,84,, , , , , , , , , , , , , , , , , , ,
Quaker (PepsiCo),Food Manufacturing,Yes,PEP,82,82,85,83,83,86,86,87,86,86,88,85,86,87,87,86,84,86,87,85,80,83,84,84,84,
Ralston Foods,Food Manufacturing,No,N/A,79,81,, , , , , , , , , , , , , , , , , , , , , , ,
Hillshire Brands,Food Manufacturing,No,N/A,82,84,80,80,81,82,81,84,83,84,81,85,82,84,85,85,82,83,84,82,, , , , ,
First Interstate Bancorp,Banks,No,N/A,71,, , , , , , , , , , , , , , , , , , , , , , , ,