Company Name,Ticker Name,Exchange,Ticker Symbol,Division,"Type (Public, Subsidiary, Private, Defunct, Government)",Notes,"Base-
GMC (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,Subsidiary,,NM,NM,NM,80,78,81,81,79,81,83,80,81,82,82,83,82,84,83,80,85,82,78,84,84,80,78,,-2.5
Honda [Automobiles and Light Vehicles],Honda Motor Co Ltd,NYSE,HMC,No,Public,,85,86,83,82,81,83,82,83,82,82,85,86,86,84,86,88,84,85,83,86,83,80,86,81,83,82,,-1.2
Bing (Microsoft) [Internet Search Engines and Information],Microsoft Corporation,NASDAQ,MSFT,Yes,Subsidiary,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,82,81,76,73,72,75,73,73,72,,-1.4
AOL (Verizon Media) [Internet Search Engines and Information],Verizon Communications Inc.,NYSE,VZ,Yes,Subsidiary,, , , , , , ,56,58,59,65,67,71,74,67,69,70,74,75,74,71,70,74,69,70,68,74,,8.8
AltaVista [Internet Search Engines and Information],N/A,N/A,N/A,N/A,,, , , , , , ,NM,NM,61,63,66,NM,NM,NM,NM,NM,NM,NM,NM,†, , , , , , ,,N/A
NBC Television Network [Network/Cable TV News],Comcast Corporation,NASDAQ,CMCSA,Yes,Subsidiary,,76,74,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Turner Broadcasting System [Network/Cable TV News],N/A,N/A,N/A,N/A,,,82,81,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Sprint [Wireless Telephone Service],T-Mobile Us Inc,NASDAQ,TMUS,Yes,Subsidiary,"Acquired by T-Mobile April 1, 2020.", , , , , , , , , , ,59,63,63,61,56,63,70,72,71,71,68,65,70,73,70,69,,-1.4
Motorola (Lenovo) [Cellular Telephones],Lenovo Group Limited,OTCMKTS,LNVGY,Yes,Subsidiary,"{“GOOGL” : “5/22/2012”, “LNVGY” : 10/30/2014”} ",, , , , , , , , , ,70,70,71,72,74,72,76,77,73,77,77,79,77,76,79,80,,1.3
BlackBerry [Cellular Telephones],BlackBerry Ltd,NYSE,BB,No,Public,, , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,69,69,74,78,NM,NM,NM,NM,,N/A
ABCNews.com [Internet News and Opinion],N/A,N/A,N/A,N/A,,, , , , , , , , ,74,74,74,74,73,74,75,71,75,77,76,75,74,74,76,74,71,73,,2.8
CNN.com (WarnerMedia/AT&T) [Internet News and Opinion],AT&T Inc.,NYSE,T,Yes,Subsidiary, {“T”: “6/14/2018”},, , , , , , , ,72,72,74,72,74,73,73,71,73,74,75,73,70,73,75,71,68,69,,1.5
FOXNews.com [Internet News and Opinion],Fox Corp Class A,NASDAQ,FOXA,Yes,Subsidiary,, , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,82,82,84,82,76,76,79,77,78,78,,0.0
NBCNews.com [Internet News and Opinion],Comcast Corporation,NASDAQ,CMCSA,Yes,Subsidiary,, , , , , , , , ,73,74,74,73,72,74,76,73,74,74,73,75,73,75,77,72,71,73,,2.8
NYTimes.com [Internet News and Opinion],New York Times Co,NYSE,NYT,No,,, , , , , , , , ,71,70,72,72,72,73,75,73,76,73,74,74,73,76,76,73,75,76,,1.3
USATODAY.com [Internet News and Opinion],N/A,N/A,N/A,N/A,,, , , , , , , , ,71,72,72,72,74,72,73,74,77,76,75,73,76,74,76,74,71,74,,4.2
Hyundai [Automobiles and Light Vehicles],HYUNDAI MTR CO/GDR,OTCMKTS,HYMTF,No,,,68,68,69,68,72,68,76,81,78,81,81,84,84,83,83,85,82,83,85,82,81,81,81,83,80,79,,-1.3
Jeep (Fiat Chrysler) [Automobiles and Light Vehicles],Fiat Chrysler Automobiles NV,NYSE,FCAU,Yes,,,78,77,76,74,77,77,75,76,79,79,77,78,77,75,76,79,77,79,83,80,79,75,78,80,80,76,,-5.0
Kia [Automobiles and Light Vehicles],Kia Motors Corporation,KRX,000270,No,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,78,80,81,80,81,82,82,82,78,79,82,79,76,,-3.8
Panasonic [Televisions and Video Players],Panasonic Corporation,OTCMKTS,PCRFY,No,,,80,80,80,83,79,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Philips Electronics [Televisions and Video Players],Koninklijke Philips NV,NYSE,PHG,No,,,84,81,82,79,79,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
RCA (Thomson) [Televisions and Video Players],N/A,N/A,N/A,N/A,,,83,82,79,79,76,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Buick (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,,,83,84,84,83,84,86,86,86,86,84,83,84,86,86,85,88,88,85,87,82,83,80,79,80,80,79,,-1.3
SANYO [Televisions and Video Players],Sanyo Trading Co Ltd,TYO,3176,No,,,84,79,81,82,84,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Sony [Televisions and Video Players],Sony Corp,NYSE,SNE,No,,,86,84,81,81,82,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Zenith Electronics [Televisions and Video Players],N/A,N/A,N/A,N/A,,,88,84,84,84,83,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
MillerCoors [Breweries],Molson Coors Beverage Co Class B,NYSE,TAP,No,,, , , , , , , , , , , , , , , , , , ,81,82,81,78,81,#, , ,,N/A
Clorox [Personal Care and Cleaning Products],Clorox Co,NYSE,CLX,No,,,88,88,84,83,85,84,85,85,85,86,88,88,86,87,87,88,86,88,87,85,85,82,84,84,85,82,,-3.5
Colgate-Palmolive [Personal Care and Cleaning Products],Colgate-Palmolive Company,NYSE,CL,No,,,84,86,82,83,82,80,80,85,80,83,82,83,84,81,87,83,85,84,83,85,83,79,83,81,82,82,,0.0
Henkel [Personal Care and Cleaning Products],HENKEL AG & CO /S ADR,OTCMKTS,HENKY,No,,,86,85,85,83,81,79,85,84,84,85,85,83,83,86,85,84,83,84,83,84,81,79,85,83,82,77,,-6.1
JVC [Televisions and Video Players],JVCkenwood Corp,TYO,6632,No,,,77,78,80,79,80,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Emerson Electric [Televisions and Video Players],Emerson Electric Co.,NYSE,EMR,No,,,80,81,80,NM,NM,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,,N/A
Volvo [Automobiles and Light Vehicles],VOLVO AB/ADR,OTCMKTS,VLVLY,No,,,82,84,84,84,81,80,82,81,82,81,80,81,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,NM,82,85,82,,-3.5
Lexus (Toyota) [Automobiles and Light Vehicles],Toyota Motor Corp,NYSE,TM,Yes,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,86,87,87,89,85,87,89,87,84,84,84,86,85,84,,-1.2
Lincoln (Ford) [Automobiles and Light Vehicles],Ford Motor Company,NYSE,F,Yes,,,79,84,80,81,83,82,85,82,84,81,86,83,83,86,83,88,89,86,90,NM,NM,83,87,83,84,82,,-2.4
Mazda [Automobiles and Light Vehicles],Mazda Motor Corp,OTCMKTS,MZDAY,No,,,78,77,75,74,77,76,78,78,81,82,78,80,79,78,80,81,80,79,82,82,80,80,80,82,80,77,,-3.8
Mercedes-Benz [Automobiles and Light Vehicles],DAIMLER AG/ADR,OTCMKTS,DMLRY,No,,,85,86,87,87,86,86,87,86,83,83,80,80,82,83,82,86,86,86,85,88,86,83,81,84,82,83,,1.2
Nissan [Automobiles and Light Vehicles],Nissan Motor Co Ltd,OTCMKTS,NSANY,No,,,83,82,80,79,77,79,78,80,80,79,81,78,82,80,82,78,82,84,83,83,81,77,80,80,80,75,,-6.3
Oldsmobile (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,,,83,84,82,82,82,81,80,81,82,80,80,†, , , , , , , , , , , , , , ,,N/A
Pontiac (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,,,76,79,78,78,76,78,78,78,78,76,79,80,79,80,80,81,†, , , , , , , , , ,,N/A
Saturn (GM) [Automobiles and Light Vehicles],General Motors Company,NYSE,GM,Yes,,,84,83,81,82,85,80,82,80,81,81,81,81,80,81,85,84,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,N/A
Subaru [Automobiles and Light Vehicles],SUBARU CORP/ADR,OTCMKTS,FUJHY,No,,,80,79,83,79,83,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,87,86,85,82,84,85,84,82,,-2.4
Toyota [Automobiles and Light Vehicles],Toyota Motor Corp,NYSE,TM,No,,,86,84,84,84,85,83,82,83,83,85,84,87,87,84,86,86,84,87,85,86,83,82,85,86,83,81,,-2.4
Volkswagen [Automobiles and Light Vehicles],VOLKSWAGEN AG/ADR,OTCMKTS,VWAGY,No,,,74,76,76,79,78,82,83,81,82,76,80,78,78,80,81,86,81,84,85,84,84,80,78,79,82,77,,-6.1
HuffPost (Verizon Media) [Internet News and Opinion],Verizon Communications Inc.,NYSE,VZ,Yes,,, , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,69,69,69,70,71,72,67,70,70,,0.0
TracFone Wireless [Wireless Telephone Service], America Movil SAB de CV ADR Series L,NYSE,AMX,Yes,,, , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,75,77,78,78,,0.0
Frontier Communications [Subscription Television Service], Frontier Communications Corp,NASDAQ,FTR,No,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,60,56,57,,1.8
Suddenlink (Altice USA) [Fixed-Line Telephone Service],Altice USA Inc,NYSE,ATUS,Yes,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,71,61,,-14.1
U-verse TV (AT&T) [Video-on-Demand Service],AT&T Inc.,NYSE,T,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,74,72,,-2.7
DISH Network [Video-on-Demand Service],DISH Network Corp,NASDAQ,DISH,No,,, , , , , , , , , , , , , , , , , , , , , , , , ,73,71,,-2.7
Fios (Verizon Communications) [Video-on-Demand Service],Verizon Communications Inc.,NYSE,VZ,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,72,72,,0.0
DIRECTV (AT&T) [Video-on-Demand Service],AT&T Inc.,NYSE,T,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,70,70,,0.0
Optimum (Altice USA) [Video-on-Demand Service],Altice USA Inc,NYSE,ATUS,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,68,66,,-2.9
Cox Communications [Video-on-Demand Service],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , , , , , , , , ,67,66,,-1.5
Xfinity (Comcast) [Video-on-Demand Service],Comcast Corporation,NASDAQ,CMCSA,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,67,66,,-1.5
Spectrum (Charter Communications) [Video-on-Demand Service],Charter Communications Inc,NASDAQ,CHTR,No,,, , , , , , , , , , , , , , , , , , , , , , , , ,64,64,,0.0
Netflix [Video Streaming Service],Netflix Inc,NASDAQ,NFLX,No,,, , , , , , , , , , , , , , , , , , , , , , , , ,78,79,,1.3
Sony PlayStation Vue [Video Streaming Service],Sony Corp,NYSE,SNE,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,78,78,,0.0
Twitch (Amazon) [Video Streaming Service],"Amazon.com, Inc.",NASDAQ,AMZN,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,78,75,,-3.8
Apple iTunes [Video Streaming Service],Apple Inc.,NASDAQ,AAPL,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,77,76,,-1.3
Microsoft Store [Video Streaming Service],Microsoft Corporation,NASDAQ,MSFT,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,77,77,,0.0
YouTube (Google) [Video Streaming Service],Alphabet Inc Class A,NASDAQ,GOOGL,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,76,75,,-1.3
Amazon Prime Video [Video Streaming Service],"Amazon.com, Inc.",NASDAQ,AMZN,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,75,76,,1.3
Netflix [Internet Retail],Netflix Inc,NASDAQ,NFLX,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,84,85,87,86,74,75,79,81,76,79,NM,NM,NM,,N/A
Save-A-Lot [Supermarkets],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,76,76,75,,-1.3
BJ's Wholesale Club [Supermarkets],BJs Wholesale Club Holdings Inc,NYSE,BJ,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,79,82,,3.8
Ask.com [Internet Search Engines and Information],N/A,N/A,N/A,N/A,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,73,72,70,73,,4.3
Charles Schwab [Financial Advisors],Charles Schwab Corporation Common Stock,NYSE,SCHW,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,82,82,82,,0.0
LPL Financial [Financial Advisors],LPL Financial Holdings Inc,NASDAQ,LPLA,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,82,78,78,,0.0
Morgan Stanley [Financial Advisors],Morgan Stanley,NYSE,MS,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,81,79,79,,0.0
Raymond James [Financial Advisors],"Raymond James Financial, Inc.",NYSE,RJF,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,81,81,80,,-1.2
Wells Fargo [Financial Advisors],Wells Fargo & Co,NYSE,WFC,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,80,79,79,,0.0
Fidelity [Financial Advisors],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,79,79,79,,0.0
Merrill (Bank of America) [Financial Advisors],Bank of America Corp,NYSE,BAC,No,,, , , , , , , , , , , , , , , , , , , , , , , ,79,79,77,,-2.5
UBS [Financial Advisors],UBS Group AG,NYSE,UBS,No,,, , , , , , , , , , , , , , , , , , , , , , , ,79,80,80,,0.0
Independent Advisors [Financial Advisors],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , , , , , , , ,79,81,80,,-1.2
O'Reilly Auto Parts [Specialty Retail Stores],O'Reilly Automotive Inc,NASDAQ,ORLY,No,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,80,78,,-2.5
Foot Locker [Specialty Retail Stores],"Foot Locker, Inc.",NYSE,FL,No,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,78,78,79,,1.3
Michaels [Specialty Retail Stores],Michaels Companies Inc,NASDAQ,MIK,No,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,78,79,77,,-2.5
Cabela's [Specialty Retail Stores],N/A,N/A,N/A,N/A,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,82,80,80,,0.0
Costco [Supermarkets],Costco Wholesale Corporation,NASDAQ,COST,No,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,83,83,83,,0.0
Sam's Club (Walmart) [Supermarkets],Walmart Inc,NYSE,WMT,Yes,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,82,80,80,,0.0
Google Play [Video Streaming Service],Alphabet Inc Class A,NASDAQ,GOOGL,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,75,75,,0.0
Hulu [Video Streaming Service],N/A,N/A,N/A,N/A,,, , , , , , , , , , , , , , , , , , , , , , , , ,75,76,,1.3
Vudu (Walmart) [Video Streaming Service],Walmart Inc,NYSE,WMT,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,75,75,,0.0
Home Depot [Internet Retail],Home Depot Inc,NYSE,HD,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,78,,-1.3
Lowe's [Internet Retail],"Lowe's Companies, Inc.",NYSE,LOW,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,78,,-1.3
Gap [Internet Retail],Gap Inc,NYSE,GPS,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,78,78,,0.0
Best Buy [Internet Retail],Best Buy Co Inc,NYSE,BBY,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,77,78,,1.3
Groupon Goods [Internet Retail],Groupon Inc Common Stock,NASDAQ,GRPN,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,76,77,,1.3
Staples [Internet Retail],N/A,N/A,N/A,N/A,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,76,77,,1.3
Walgreens [Internet Retail],Walgreens Boots Alliance Inc,NASDAQ,WBA,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,76,75,,-1.3
GameStop [Internet Retail],GameStop Corp.,NYSE,GME,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,75,76,,1.3
Walmart [Internet Retail],Walmart Inc,NYSE,WMT,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,74,74,,0.0
Sears [Internet Retail],Sears Holdings Corp,OTCMKTS,SHLDQ,Yes,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,73,73,,0.0
Ulta Beauty [Specialty Retail Stores],Ulta Beauty Inc,NASDAQ,ULTA,No,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,80,,0.0
Sephora [Specialty Retail Stores],LVMH Moet Hennessy Louis Vuitton SA Unsponsored ADR,OTCMKTS,LVMUY,Yes,,, , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,80,,1.3
TripAdvisor [Internet Travel Services],Tripadvisor Inc Common Stock,NASDAQ,TRIP,No,,, , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM***,NM,NM,NM,NM,NM,82,,N/A
Frontier Communications [Video-on-Demand Service],Frontier Communications Corp,NASDAQ,FTR,No,,, , , , , , , , , , , , , , , , , , , , , , , , ,NM,67,,N/A
Sonic Drive-In (Inspire Brands) [Limited-Service Restaurants],N/A,N/A,N/A,N/A,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM**,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,76,,N/A
Snapchat [Internet Social Media],Snap Inc,NYSE,SNAP,No,,, , , , , , , , , , , , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,71,,N/A
Dell [Internet Retail],Dell Technologies Inc,NYSE,DELL,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,79,78,,-1.3
Wayfair [Internet Retail],Wayfair Inc,NYSE,W,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,80,,0.0
Target [Internet Retail],Target Corporation,NYSE,TGT,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,78,,-2.5
CBS All Access [Video Streaming Service],CBS Corporation Common Stock,NASDAQ,VIAC,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,74,75,,1.4
HBO [Video Streaming Service],AT&T Inc.,NYSE,T,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,72,74,,2.8
Starz [Video Streaming Service],Lions Gate Entertainment Corp. Class A,NYSE,LGF.A,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,72,72,,0.0
Sling TV (DISH Network) [Video Streaming Service],DISH Network Corp,NASDAQ,DISH,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,71,74,,4.2
DIRECTV NOW (AT&T) [Video Streaming Service],AT&T Inc.,NYSE,T,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,70,69,,-1.4
Showtime [Video Streaming Service],CBS Corporation Common Stock,NASDAQ,VIAC,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,70,71,,1.4
Sony Crackle [Video Streaming Service],Sony Corp,NYSE,SNE,Yes,,, , , , , , , , , , , , , , , , , , , , , , , , ,68,68,,0.0
Ram (Fiat Chrysler) [Automobiles and Light Vehicles],Fiat Chrysler Automobiles NV,NYSE,FCAU,Yes,,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,80,,0.0
Costco [Internet Retail],Costco Wholesale Corporation,NASDAQ,COST,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,83,81,,-2.4
Etsy [Internet Retail],Etsy Inc,NASDAQ,ETSY,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,82,,1.2
Kohl's [Internet Retail],Kohl's Corporation,NYSE,KSS,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,81,,0.0
Nike [Internet Retail],Nike Inc,NYSE,NKE,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,81,,0.0
Nordstrom [Internet Retail],"Nordstrom, Inc.",NYSE,JWN,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,81,82,,1.2
Apple [Internet Retail],Apple Inc.,NASDAQ,AAPL,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,78,,-2.5
HP Store [Internet Retail],HP Inc,NYSE,HPQ,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,81,,1.3
Macy's [Internet Retail],Macy's Inc,NYSE,M,No,,, , , , , , ,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,80,80,,0.0
