,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio
0,50,0.71,0.98,0.21,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
1,441,0.12,0.47,0.36,-0.06655932879363047,1.082372460160115,-0.12694312808223018,76.40482573726541,8,0.07227910482706608
2,145,0.58,0.27,0.68,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
3,862,0.25,0.14,0.77,-0.008372105249323192,2.321237138790892,86.46970431410568,76.40482573726541,9,0.08220795775512693
4,882,0.11,0.32,0.63,-0.008372105249323192,2.2211633564687783,82.34872979214782,76.40482573726541,9,0.08178424603459399
5,786,0.48,0.69,0.95,0.0,0.41251108803151293,0.1559897501601537,76.40482573726541,3,0.025725032409539873
6,22,0.44,0.05,0.85,-0.008372105249323192,2.537724622094371,95.24000000000001,76.40482573726541,9,0.08228269415420746
7,714,0.31,0.22,0.53,-0.008372105249323192,2.40301857635427,89.80387470122028,76.40482573726541,9,0.08174833364475963
8,542,0.02,0.93,0.39,-0.06655932879363069,1.0921582054385415,-0.5474289788202877,76.40482573726541,8,0.06790179167257766
9,611,0.26,0.16,0.29,-0.008372105249323192,172.23542015931272,991.6826053564137,76.40482573726541,8,0.0409130994141338
10,746,0.69,0.5,0.71,0.0,0.0,0.0,76.40482573726541,0,
11,958,0.48,0.77,0.93,0.0,0.41251108803151293,0.1559897501601537,76.40482573726541,3,0.025725032409539873
12,1061,0.06,0.98,0.03,0.005555682580377752,1.9679657627429847,0.02969951918135072,76.40482573726541,11,0.029645414546908107
13,182,0.91,0.7,0.74,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
14,549,0.59,0.97,0.42,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
15,962,0.33,0.06,0.35,-0.008372105249323192,1.039551635731407,9.626635591471418,76.40482573726541,8,0.07401664282897064
16,617,0.7,0.97,0.01,0.0,18.991034449805102,82.78,76.40482573726541,1,0.03758230140014144
17,1012,0.35,0.37,0.68,-0.00837210524932308,1.0316676693365334,14.051610885204882,76.40482573726541,8,0.07899770511041704
18,848,0.18,0.01,0.15,0.0,0.09491442654037785,1.0546104968625905,76.40482573726541,8,0.052871536004227636
19,256,0.3,0.17,0.83,-0.008372105249323192,2.2073324835849717,81.77522935779817,76.40482573726541,9,0.08093410541140139
20,590,0.42,0.82,0.6,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
21,213,0.19,0.12,0.59,-0.008372105249323192,2.0342526705030797,74.50209205020921,76.40482573726541,9,0.08017155866400595
22,940,0.04,0.76,0.6,-0.00837210524932308,2.017747327210653,73.79792746113989,76.40482573726541,9,0.08073559635413102
23,617,0.12,0.23,0.84,-0.00837210524932308,1.9568235952519435,71.18,76.40482573726541,9,0.0798156184867647
24,523,0.03,0.04,0.7,-0.008372105249323303,1.04226050241715,10.69986092266965,76.40482573726541,9,0.07523804964202929
25,1021,0.53,0.89,0.19,0.0,0.0,0.0,76.40482573726541,0,
26,546,0.56,0.43,0.19,0.0,18.991034449805102,82.78,76.40482573726541,1,0.03758230140014144
27,769,0.78,0.41,0.06,0.0,0.0,0.0,76.40482573726541,0,
28,678,0.13,0.9,0.66,-0.00837210524932308,1.9566566319314946,71.17278272172781,76.40482573726541,9,0.07981484009016084
29,810,0.02,0.57,0.38,-0.008372105249323192,2.064268833224912,38.27438843236023,76.40482573726541,9,0.07581670521401157
30,829,0.19,0.31,0.03,0.0,0.09827894963967844,1.1245060772252966,76.40482573726541,8,0.06651028837658288
31,196,0.98,0.21,0.61,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
32,755,0.93,0.55,0.97,0.0,0.0,0.0,76.40482573726541,0,
33,331,0.5,0.24,0.26,0.0,197.07304058188362,527.9999,76.40482573726541,1,0.039772596588038625
34,617,0.66,0.61,0.78,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
35,686,0.78,0.13,0.01,0.0,18.991034449805102,82.78,76.40482573726541,1,0.03758230140014144
36,206,0.03,0.09,0.17,-0.10807452549410579,1.0654645892782457,-0.7996985422031813,76.40482573726541,8,0.06701811045181967
37,138,0.2,0.34,0.43,-0.008372105249323192,2.5741377455831063,96.69897130481863,76.40482573726541,9,0.08242372854799762
38,276,0.35,0.08,0.02,0.0,25.978400021230872,111.75556742015432,76.40482573726541,3,0.03765741727546623
39,562,0.98,0.02,0.61,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
40,23,0.27,0.29,0.18,0.02490688423239673,106.41329179938688,8609.72140137257,76.40482573726541,10,0.04346421661631645
41,797,0.74,0.54,0.51,0.0,0.0,0.0,76.40482573726541,0,
42,138,0.27,0.23,0.03,0.0,34.82666745226107,137.97012369742401,76.40482573726541,3,0.037720624573283915
43,511,0.36,0.12,0.78,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
44,456,0.38,0.61,0.0,0.0,19.486124076442998,82.57396885226746,76.40482573726541,3,0.037593747715437574
45,711,0.76,0.47,0.63,0.0,0.0,0.0,76.40482573726541,0,
46,899,0.8,0.03,0.25,0.0,0.0,0.0,76.40482573726541,0,
47,1074,0.15,0.71,0.22,-0.00837210524932308,2.138201212661154,32.64270388208543,76.40482573726541,9,0.07482707794960071
48,487,0.51,0.49,0.13,0.0,18.986667001927138,112.6429437216339,76.40482573726541,2,0.03774658057304705
49,136,0.52,0.81,0.13,0.0,18.991034449805102,82.78,76.40482573726541,1,0.03758230140014144
50,318,0.02,0.01,0.16,-0.057684443652194606,1.03695902455238,-0.413612895092654,76.40482573726541,9,0.06671831425868263
51,155,0.28,0.52,0.87,-0.008372105249323192,2.2073324835849717,81.77522935779817,76.40482573726541,9,0.08093410541140139
52,892,0.69,0.69,0.83,0.0,0.0,0.0,76.40482573726541,0,
53,843,0.43,0.11,0.42,0.0,0.1312232413074862,-0.5492111597340171,76.40482573726541,2,-0.01915167894371731
54,927,0.07,0.45,0.4,-0.008372105249323192,2.0074668844870667,52.78038697653321,76.40482573726541,9,0.07838347554006661
55,925,0.63,0.92,0.27,0.0,0.0,0.0,76.40482573726541,0,
56,747,0.38,0.51,0.21,0.0,0.04969817307237079,0.2663514044298423,76.40482573726541,3,0.029208615343200305
57,1069,0.72,0.9,0.03,0.0,0.0,0.0,76.40482573726541,0,
58,308,0.58,0.44,0.9,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
59,855,0.1,0.55,0.02,-0.004713894874981417,1.9145653292810034,1.7246846535420022,76.40482573726541,7,0.03862909253382551
60,704,0.82,0.77,0.52,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
61,123,0.78,0.99,0.83,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
62,917,0.34,0.91,0.89,0.0,1.0276140870235573,17.508166876073744,76.40482573726541,9,0.08114591241252485
63,163,0.76,0.75,0.4,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
64,548,0.3,0.28,0.84,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
65,682,0.21,0.07,0.34,-0.00837210524932308,1.8556810920412636,36.17259910847532,76.40482573726541,9,0.07449094411573344
66,128,0.94,0.14,0.22,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
67,766,0.31,0.88,0.02,0.0,0.15486643801720043,1.276645577606474,76.40482573726541,6,0.082009822418071
68,548,0.05,0.74,0.92,-0.00837210524932308,1.7476526122671947,61.91292600017432,76.40482573726541,9,0.07879833395111524
69,878,0.97,0.68,0.7,0.0,0.0,0.0,76.40482573726541,0,
70,323,0.64,0.98,0.84,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
71,907,0.64,0.18,0.51,0.0,0.0,0.0,76.40482573726541,0,
72,975,0.29,0.77,0.28,0.0,0.9621629331498849,72.42422012283949,76.40482573726541,9,0.10106543263263096
73,493,0.46,0.87,0.04,0.0,18.986667001927138,112.6429437216339,76.40482573726541,2,0.03774658057304705
74,942,0.88,0.99,0.01,0.0,0.0,0.0,76.40482573726541,0,
75,968,0.53,0.82,0.8,0.0,0.0,0.0,76.40482573726541,0,
76,756,0.12,0.66,0.4,-0.008372105249323192,2.7078793781591357,45.7046194340802,76.40482573726541,9,0.077447422885882
77,44,0.52,0.95,0.86,-0.008372105249323192,2.537724622094371,95.24000000000001,76.40482573726541,9,0.08228269415420746
78,646,0.44,0.08,0.16,0.0,18.98398737338161,134.75476588197017,76.40482573726541,3,0.03783309374183153
79,255,0.56,0.92,0.59,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
80,93,0.11,0.5,0.78,-0.00837210524932308,1.9910172314924643,72.6530612244898,76.40482573726541,9,0.07997402845837451
81,150,0.14,0.65,0.34,-0.008372105249323192,1.724444478957544,80.96871259154618,76.40482573726541,9,0.08837040631645623
82,1042,0.28,0.57,0.45,0.0,1.028512666873826,16.638880722545075,76.40482573726541,9,0.08042800960563302
83,865,0.42,0.4,0.19,0.0,0.030966437468768777,0.2224892673094958,76.40482573726541,3,0.0575408466017811
84,676,0.89,0.42,0.63,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
85,572,0.75,0.53,0.03,0.0,18.991034449805102,82.78,76.40482573726541,1,0.03758230140014144
86,92,0.94,0.12,0.62,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
87,605,0.3,0.57,0.42,-0.00837210524932297,196.98728187771118,4200.66008936302,76.40482573726541,9,0.04211406681702298
88,669,0.36,0.51,0.39,-0.008372105249323303,196.94773456577556,5334.579929216255,76.40482573726541,9,0.04226475014018171
89,276,0.81,0.88,0.88,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
90,386,0.77,0.28,0.62,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
91,39,0.06,0.36,0.32,-0.06655932879363047,1.085040718294704,-0.44649872432956605,76.40482573726541,8,0.07300364803794075
92,494,0.83,0.47,0.57,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
93,770,0.96,0.57,0.23,0.0,0.0,0.0,76.40482573726541,0,
94,18,0.71,0.42,0.84,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
95,791,0.7,0.34,0.67,0.0,0.0,0.0,76.40482573726541,0,
96,571,0.69,0.42,0.96,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
97,196,0.06,0.86,0.03,-0.050658441418247935,0.2796303693362336,-0.996558563400686,76.40482573726541,8,-0.031091406961875206
98,166,0.42,0.06,0.97,-0.00837210524932308,196.98347154294868,7217.0,76.40482573726541,9,0.04231816112977101
99,112,0.33,0.15,0.49,-0.008372105249323192,2.1611502344921365,79.85264988666061,76.40482573726541,9,0.08073480092007558
