,ma1_length,ma2_length,median_return_rate,stdev_return_rate,cumulative_return,cumulative_baseline_return,profitable_quarters,sharpe_ratio,total_trades,mean_trades_per_quarter
0,243,556,0.04763396126731112,,104.55462082847755,32.248566172492154,18,,117,3.342857142857143
1,645,664,0.03796519923555475,,58.01673115360583,32.248566172492154,18,,277,7.914285714285715
2,636,653,0.01926094671636336,,91.38140207922469,32.248566172492154,16,,299,8.542857142857143
3,656,902,0.021437271619975773,,82.38287496108323,32.248566172492154,16,,76,2.1714285714285713
4,61,991,0.0,,55.96658033340879,32.248566172492154,13,,101,2.8857142857142857
5,569,804,0.0,,52.050848047947746,32.248566172492154,15,,84,2.4
6,150,203,0.052874459140383356,,33.63919684987481,32.248566172492154,18,,435,12.428571428571429
7,756,827,0.0,,30.645403785548876,32.248566172492154,14,,123,3.5142857142857142
8,582,749,0.0,,49.951148117634744,32.248566172492154,14,,106,3.0285714285714285
9,426,441,0.030366332383359174,,82.07353868040325,32.248566172492154,18,,390,11.142857142857142
10,799,1027,0.0,,37.00125997158846,32.248566172492154,12,,68,1.9428571428571428
11,227,591,0.08035941626384147,,112.94781080305609,32.248566172492154,18,,111,3.1714285714285713
12,300,365,0.0639683692635189,,26.31545507592606,32.248566172492154,19,,274,7.828571428571428
13,11,812,0.05138803695440819,,37.16554703552165,32.248566172492154,19,,283,8.085714285714285
14,224,942,-0.12005720104868578,,21.606735238873107,32.248566172492154,13,,77,2.2
15,748,1074,0.0,,23.75771364055057,32.248566172492154,13,,60,1.7142857142857142
16,790,1058,-0.08797480068277963,,30.856544099607838,32.248566172492154,11,,66,1.8857142857142857
17,300,906,-0.07791725720456244,,59.9863284175412,32.248566172492154,14,,70,2.0
18,866,973,0.0,,36.893848811599014,32.248566172492154,15,,103,2.942857142857143
19,57,310,0.05293481048541371,,101.98535493136538,32.248566172492154,22,,278,7.942857142857143
20,374,1000,-0.07411049526193458,,43.89384754827782,32.248566172492154,13,,58,1.6571428571428573
21,507,508,0.029930840013669746,,23.450367738742056,32.248566172492154,18,,1463,41.8
22,698,702,0.04387513872470894,,56.05239101418115,32.248566172492154,17,,520,14.857142857142858
23,61,182,0.05739486518043768,,81.35449975624822,32.248566172492154,18,,433,12.371428571428572
24,479,535,0.04379609740222734,,41.67040178798025,32.248566172492154,17,,208,5.942857142857143
25,180,181,0.04339410944109101,,42.947807295257135,32.248566172492154,20,,2696,77.02857142857142
26,637,868,0.003323233310526863,,70.94940814000016,32.248566172492154,16,,82,2.342857142857143
27,943,1009,0.003779948018363344,,30.78782988798306,32.248566172492154,15,,110,3.142857142857143
28,549,1007,0.0,,36.86351839706494,32.248566172492154,15,,68,1.9428571428571428
29,503,951,0.0,,42.57971023506283,32.248566172492154,15,,68,1.9428571428571428
30,2,327,0.05172272005143941,,203.35171404194529,32.248566172492154,20,,1099,31.4
31,728,859,0.005661893220743064,,55.70750451719435,32.248566172492154,16,,95,2.7142857142857144
32,932,993,0.0,,37.09086949949019,32.248566172492154,14,,117,3.342857142857143
33,957,984,0.03528250757747764,,34.61056818846977,32.248566172492154,17,,163,4.6571428571428575
34,283,408,0.047369232596901734,,73.80603198496793,32.248566172492154,20,,192,5.485714285714286
35,169,278,0.08023373098477427,,97.51249340304372,32.248566172492154,21,,273,7.8
36,492,673,0.018150432874607603,,68.98092244440821,32.248566172492154,18,,110,3.142857142857143
37,95,777,0.0,,41.18831442217753,32.248566172492154,15,,116,3.3142857142857145
38,792,871,0.020627563855602604,,84.9267213321221,32.248566172492154,16,,110,3.142857142857143
39,759,1061,-0.042340498123507375,,38.42042687083805,32.248566172492154,12,,64,1.8285714285714285
40,452,684,0.10815870670722783,,105.25036907748063,32.248566172492154,19,,106,3.0285714285714285
41,615,1022,0.0,,27.746168745289854,32.248566172492154,13,,66,1.8857142857142857
42,471,550,0.0243100545770909,,14.053410321331611,32.248566172492154,16,,178,5.085714285714285
43,57,283,0.07493054358914653,,131.97325696687773,32.248566172492154,22,,291,8.314285714285715
44,205,977,-0.07025060123976379,,31.638710694699462,32.248566172492154,12,,61,1.7428571428571429
45,119,1000,-0.2180943900455845,,23.565651225972704,32.248566172492154,13,,80,2.2857142857142856
46,1003,1015,0.017143048032494335,,36.31167525769407,32.248566172492154,18,,222,6.3428571428571425
47,541,942,0.0,,41.6600102496887,32.248566172492154,15,,72,2.057142857142857
48,768,877,0.017831208047025315,,57.71457547307617,32.248566172492154,16,,104,2.9714285714285715
49,1082,1088,0.03098103333042035,,88.7632204065174,32.248566172492154,17,,255,7.285714285714286
50,709,744,0.06354581587348185,,52.185208083324355,32.248566172492154,19,,191,5.457142857142857
51,856,1031,0.0,,61.76858738605601,32.248566172492154,13,,79,2.257142857142857
52,144,652,0.0,,57.57418611086903,32.248566172492154,15,,116,3.3142857142857145
53,867,1066,0.0,,30.17890415215093,32.248566172492154,12,,72,2.057142857142857
54,186,575,0.057004461754628144,,106.69942725591035,32.248566172492154,18,,116,3.3142857142857145
55,337,1033,-0.11389626134539144,,36.04574793542673,32.248566172492154,11,,56,1.6
56,73,550,0.0648838247269361,,151.40374704197657,32.248566172492154,17,,150,4.285714285714286
57,957,964,0.0,,52.81769872697673,32.248566172492154,15,,292,8.342857142857143
58,741,851,0.022848069624187506,,56.31502775634817,32.248566172492154,17,,101,2.8857142857142857
59,137,857,0.0,,69.06315363172267,32.248566172492154,15,,87,2.4857142857142858
60,998,1069,0.0,,47.51630997487193,32.248566172492154,15,,114,3.257142857142857
61,785,832,0.0,,46.12525168698144,32.248566172492154,14,,145,4.142857142857143
62,465,1054,0.0,,24.468355851533243,32.248566172492154,10,,55,1.5714285714285714
63,803,1037,0.0,,39.907920766634604,32.248566172492154,14,,68,1.9428571428571428
64,179,823,0.0,,39.760640598537876,32.248566172492154,15,,93,2.657142857142857
65,2,392,0.02703912659929686,,333.98409232332097,32.248566172492154,20,,951,27.17142857142857
66,1075,1095,0.03673932186967921,,98.5784004235908,32.248566172492154,16,,155,4.428571428571429
67,1083,1091,0.03447965673266329,,106.97230058239347,32.248566172492154,17,,235,6.714285714285714
68,469,472,0.03354092710527312,,8.41956368342101,32.248566172492154,17,,849,24.257142857142856
69,183,256,0.030977951407103133,,48.471846553434055,32.248566172492154,19,,330,9.428571428571429
70,463,888,0.0,,42.28850425094635,32.248566172492154,13,,77,2.2
71,46,536,0.07265964909849587,,125.4638945346972,32.248566172492154,20,,193,5.514285714285714
72,233,536,0.04360749389113838,,121.0668997000029,32.248566172492154,19,,121,3.4571428571428573
73,1038,1056,0.0,,47.01160721579442,32.248566172492154,14,,171,4.885714285714286
74,983,1065,0.0,,42.80579186426256,32.248566172492154,14,,97,2.7714285714285714
75,816,1062,0.0,,53.84743236859724,32.248566172492154,15,,68,1.9428571428571428
76,119,363,0.02719921447971907,,60.9928433776451,32.248566172492154,16,,199,5.685714285714286
77,385,603,0.0,,34.84574960168099,32.248566172492154,15,,119,3.4
78,139,631,0.0,,58.12050840452281,32.248566172492154,15,,118,3.3714285714285714
79,195,265,0.115199038381961,,85.0028984977049,32.248566172492154,20,,318,9.085714285714285
80,375,598,0.0,,28.085298282220588,32.248566172492154,15,,116,3.3142857142857145
81,548,938,0.0,,56.575792358085806,32.248566172492154,15,,72,2.057142857142857
82,607,913,0.02236111699259613,,79.02471410518993,32.248566172492154,17,,74,2.1142857142857143
83,712,1043,-0.05669415935877764,,38.158202148129305,32.248566172492154,12,,66,1.8857142857142857
84,408,573,0.00854579222416696,,31.352559804223276,32.248566172492154,16,,140,4.0
85,17,961,0.0,,60.24179488320532,32.248566172492154,14,,181,5.171428571428572
86,994,1071,0.0,,47.33777612424085,32.248566172492154,15,,102,2.914285714285714
87,627,1051,0.0,,22.289335362648195,32.248566172492154,13,,64,1.8285714285714285
88,696,871,0.030908942824564134,,48.85318274108945,32.248566172492154,16,,82,2.342857142857143
89,6,423,0.05800247871397768,,384.5407540268635,32.248566172492154,20,,519,14.82857142857143
90,205,291,0.11468297297215257,,51.00593308763372,32.248566172492154,17,,270,7.714285714285714
91,834,1057,0.0,,59.349244696759854,32.248566172492154,14,,68,1.9428571428571428
92,1052,1064,0.0,,55.654546104369615,32.248566172492154,15,,212,6.057142857142857
93,226,1008,-0.09331421797939321,,40.79630266860543,32.248566172492154,12,,56,1.6
94,590,655,0.1051982301488299,,76.37675537180476,32.248566172492154,17,,172,4.914285714285715
95,463,607,0.017349158729284664,,38.12704742165769,32.248566172492154,16,,139,3.9714285714285715
96,73,550,0.0648838247269361,,151.40374704197657,32.248566172492154,17,,150,4.285714285714286
97,518,960,0.0,,42.826199437881456,32.248566172492154,14,,74,2.1142857142857143
98,671,831,0.008640385371608383,,62.294231387347075,32.248566172492154,16,,86,2.4571428571428573
99,892,1073,0.0,,18.13626464356937,32.248566172492154,12,,77,2.2
