,company_name,sector,publicly_traded,ticker,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
268,Primerica,Life Insurance,Yes,PRI,,,,,,,,,,,,,,,,,,,,,81,75,74,78,,
269,Albertsons Companies,Health and Personal Care Stores,Yes,ACI,,,,,,,,,,,,,,,,,,,,,69,83,78,78,75,
270,Petco,Specialty Retail Stores,Yes,WOOF,,,,,,,,,,,,,,,,,,,,,76,78,77,78,77,
271,Burlington,Specialty Retail Stores,Yes,BURL, , , ,,,,,,,,,,,,,,,,,,76,79,77,76,76,
272,L Brands,Specialty Retail Stores,Yes,LB, , , , , ,,,,,,,,,,,,,,,83,81,81,85,82,82,
273,AutoZone,Specialty Retail Stores,Yes,AZO, , , , , ,,,,,,,,,,,,,,,,75,80,78,78,77,
274,Advance Auto Parts,Specialty Retail Stores,Yes,AAP, , , , , ,,,,,,,,,,,,,,,,72,79,79,78,78,
275,Abercrombie & Fitch,Specialty Retail Stores,Yes,ANF,,,,,,,,,,,,,,,,,,,,,65,76,79,78,79,
278,Windstream,Internet Service Providers,Yes,WINMQ,,,,,,,,,,,,,,,,,,,,,,59,57,56,57,
280,U.S. Cellular,Wireless Telephone Service,Yes,USM,,,,,,,,,,,,,,,,,,,,,,72,74,74,74,
281,Johnson & Johnson,Personal Care and Cleaning Products,Yes,JNJ,,,,,,,,,,,,,,,,,,,,,,82,81,82,77,
283,Dick's Sporting Goods,Specialty Retail Stores,Yes,DKS,,,,,,,,,,,,,,,,,,,,,,79,78,75,76,
284,Ahold Delhaize,Supermarkets,Yes,AD,,,,, , , , , , , , , , , , , , , , , ,76,79,78,77,
286,Ross Stores,Department and Discount Stores,Yes,ROST,,,,,,,,,,,,,,,,,,,,,74,76,76,77,76,
288,Allstate,Life Insurance,Yes,ALL,,,,,,,,,,,,,,,,,,,,,77,82,79,75,81,
291,Lincoln Financial,Life Insurance,Yes,LNC,,,,,,,,,,,,,,,,,,,,,75,76,76,78,78,
292,Farmers,Life Insurance,Yes,FMNB,,,,,,,,,,,,,,,,,,,,,71,80,77,74,81,
295,Nationwide,Property and Casualty Insurance,Yes,NFS,,,,,,,,,,,,,,,,,,,,,75,79,76,80,,
298,Travelers,Property and Casualty Insurance,Yes,TRV,,,,,,,,,,,,,,,,,,,,,73,77,80,78,,
300,Scottrade (TD Ameritrade),Internet Investment Services,Yes,AMTD,,,,,,,,,,,,,,,,,,,,,79,83,77,, ,
302,Merrill Edge (Bank of America),Internet Investment Services,Yes,BAC,,,,,,,,,,,,,,,,,,,,,73,79,77,79,74,
304,Verizon Communications,Fixed-Line Telephone Service,Yes,VZ, ,,,, , ,73,71,73,73,70,69,72,70,71,73,71,70,74,73,68,72,73,72,73,
307,DIRECTV (AT&T),Subscription Television Service,Yes,T, , , , , , ,70,70,72,71,67,71,67,68,71,68,69,68,72,69,68,68,68,64,66,
308,DISH Network,Subscription Television Service,Yes,DISH, , , , , , ,71,68,71,71,68,68,67,65,64,71,67,69,70,67,67,67,67,67,67,
309,Time Warner Cable (Charter Communications),Subscription Television Service,Yes,CHTR, , , , , , ,63,61,61,60,61,61,58,59,59,61,59,63,60,56,51,59,60,, ,
311,AT&T,Wireless Telephone Service,Yes,T, , , , , , , , , ,63,62,63,68,71,67,69,66,69,70,68,70,71,72,74,74,
314,T-Mobile,Wireless Telephone Service,Yes,TMUS, , , , , , , , , ,,64,69,70,71,71,73,70,69,68,69,70,74,73,76,76,
316,Kyocera,Cellular Telephones,Yes,6971.T, , , , , , , , , ,70,,,,,,,,,,,,,,,,
318,Samsung,Cellular Telephones,Yes,005930.KS,,,, , , , , , ,73,71,73,70,71,70,76,74,71,76,81,80,80,80,80,81,
321,Spectrum (Charter Communications),Subscription Television Service,Yes,CHTR, ,,, , , ,63,53,55,56,56,55,55,54,51,60,59,59,64,60,63,60,63,58,59,
322,Universal Studios,Motion Pictures,Yes,CMCSA,74,,,,,,,,,,,,,,,,,,,,,,,,,
323,Walt Disney,Motion Pictures,Yes,DIS,80,,,,,,,,,,,,,,,,,,,,,,,,,
327,AT&T,Fixed-Line Telephone Service,Yes,T,83,83,80,81,79,75,73,73,76,76,72,71,70,75,71,75,71,70,73,72,65,70,71,72,72,
329,Gannett,Newspapers,Yes,GCI,66,,,,,,,,,,,,,,,,,,,,,,,,,
331,New York Times,Newspapers,Yes,NYT,70,,,,,,,,,,,,,,,,,,,,,,,,,
334,U-verse TV (AT&T),Subscription Television,Yes,T, ,,, , , ,,,,,,,,,,72,68,68,71,69,69,69,70,70,69,
337,Olive Garden (Darden),Full-Service Restaurants,Yes,DRI, , , , , , , , , , , , ,80,82,81,84,82,80,83,80,79,81,81,80,79,
338,McDonald's,Limited-Service Restaurants,Yes,MCD,63,60,60,61,61,59,62,61,64,,62,63,64,69,70,67,72,73,73,71,67,69,69,69,69,
339,Papa John's,Limited-Service Restaurants,Yes,PZZA,,,,,76,77,78,76,76,,78,79,77,76,75,80,79,83,82,82,78,82,82,80,80,
340,Pizza Hut (Yum! Brands),Limited-Service Restaurants,Yes,YUM,66,63,71,71,68,70,71,70,75,,71,76,72,76,74,78,81,78,80,82,78,77,76,80,80,
341,Starbucks,Limited-Service Restaurants,Yes,SBUX,,,,,,,,,,,,77,78,77,76,78,80,76,80,76,74,75,77,78,79,
342,Taco Bell (Yum! Brands),Limited-Service Restaurants,Yes,YUM,66,66,67,64,64,63,66,67,68,,72,70,69,70,73,74,76,77,74,72,72,75,76,74,75,
343,Wendy's,Limited-Service Restaurants,Yes,WEN,73,71,69,73,71,70,72,74,74,,75,76,78,73,76,77,77,78,79,78,73,76,76,77,77,
344,American,Airlines,Yes,AAL,71,71,62,67,64,63,62,63,67,66,64,62,60,62,60,63,63,64,65,66,66,72,76,74,73,
346,Delta,Airlines,Yes,DAL,72,67,69,65,68,66,61,66,67,67,65,64,59,60,64,62,56,65,68,71,71,71,76,74,75,
348,Southwest,Airlines,Yes,LUV,76,76,76,74,72,70,70,74,75,73,74,74,76,79,81,79,81,77,81,78,78,80,80,80,79,
349,United,Airlines,Yes,UAL,67,70,68,65,62,62,59,64,63,64,61,63,56,56,56,60,61,62,62,60,60,68,70,67,70,
351,Facebook,Internet Social Media,Yes,FB, , , , , , , , , , , , , , , ,64,66,61,62,67,75,68,68,67,63,
353,KFC (Yum! Brands),Limited-Service Restaurants,Yes,YUM,68,69,67,64,64,65,63,69,71,,69,70,71,70,69,75,75,75,81,74,73,78,78,77,78,
354,Outback Steakhouse,Full-Service Restaurants,Yes,BLMN, , , , , , , , , , , , ,79,76,77,80,81,81,81,80,78,77,80,79,79,
355,Red Lobster,Full-Service Restaurants,Yes,DRI, , , , , , , , , , , , ,78,79,80,83,82,83,83,78,77,79,81,79,78,
356,Best Western,Hotels,Yes,BW,70,,,,,,,,,,,,,70,75,76,76,76,79,74,74,75,76,77,77,
357,Choice,Hotels,Yes,CHH,,,,,,,,,,,,,,71,76,74,74,76,75,74,73,74,74,73,74,
358,Hilton,Hotels,Yes,HLT,75,75,75,72,74,77,74,76,74,77,76,78,76,78,79,80,80,80,80,78,80,81,81,82,80,
359,Holiday Inn,Hotels,Yes,HLT,69,,,69,68,71,71,69,72,73,69,72,72,, , , , , , , , , , , ,
360,Hyatt,Hotels,Yes,H,75,77,77,75,73,74,73,75,77,74,74,75,77,78,74,79,77,76,79,78,80,79,80,79,79,
361,InterContinental,Hotels,Yes,IHG,,,,,,,,,,,,,,74,75,78,76,77,78,78,76,76,78,77,78,
362,Marriott,Hotels,Yes,MAR,76,77,76,76,77,74,77,76,76,76,76,75,79,78,77,80,79,78,82,81,80,80,80,81,80,
365,Starwood (Marriott),Hotels,Yes,HOT,,,,,,73,71,69,73,73,75,75,76,74,74,77,79,75,78,76,76,78,79,79,,
366,Wyndham,Hotels,Yes,WH,,,,,,,,,,,,,,70,70,70,73,70,72,72,68,70,71,70,70,
367,Burger King,Limited-Service Restaurants,Yes,BKW,65,67,68,64,66,67,65,68,68,,71,70,69,71,69,74,75,75,76,76,72,76,77,76,76,
370,Charles Schwab,Internet Investment Services,Yes,SCHW, , , , , ,76,72,76,75,71,74,80,82,78,79,80,79,77,84,80,78,81,80,79,81,
371,Chevron,Gasoline Stations,Yes,CVX,81,78,77,81,76,76,,,,,,,,,,,,,,,,,,,,
372,Exxon,Gasoline Stations,Yes,XOM,80,79,78,80,, ,,,,,,,,,,,,,,,,,,,,
373,Exxon Mobil,Gasoline Stations,Yes,XOM, , , , ,77,75,,,,,,,,,,,,,,,,,,,,
376,Shell Oil,Gasoline Stations,Yes,RDS.A,80,77,81,78,75,77,,,,,,,,,,,,,,,,,,,,
379,Barnes & Noble,Specialty Retail Stores,Yes,BKS, , , , , , ,,,,,,,83,83,84,82,79,82,82,81,79,81,81,81,81,
380,Best Buy,Specialty Retail Stores,Yes,BBY, , , , , , ,,,72,72,71,76,74,74,74,77,77,78,77,77,74,77,78,78,77,
383,Costco,Department and Discount Stores,Yes,COST, , , , ,79,77,76,79,80,79,79,81,81,83,81,82,83,83,84,84,81,83,83,83,83,
384,Gap,Specialty Retail Stores,Yes,GPS, , , , , , ,,,,,,,75,75,75,74,77,76,77,75,75,79,77,78,79,
386,BP,Gasoline Stations,Yes,BP,,,,81,, ,,,,,,,,,,,,,,,,,,,,
387,E*Trade,Internet Investment Services,Yes,ETFC, , , , , ,66,66,69,71,70,71,74,73,69,74,76,79,73,76,76,74,80,79,79,78,
389,TD Ameritrade,Internet Investment Services,Yes,AMTD, , , , , ,,,,,,,77,80,71,76,77,78,77,74,74,73,78,79,77,79,
390,1-800-FLOWERS.COM,Internet Retail,Yes,FLWS, , , , , ,69,76,78,76,79,77,77,,,,,,,,,,,,,,
391,Amazon,Internet Retail,Yes,AMZN, , , , , ,84,84,88,88,84,87,87,88,86,86,87,86,85,88,86,83,86,85,82,83,
394,eBay,Internet Retail,Yes,EBAY, , , , , ,80,82,82,84,80,81,80,81,78,79,81,81,83,80,79,75,81,81,80,79,
397,Overstock,Internet Retail,Yes,OSTK, , , , , ,,,,,,,,80,82,82,83,83,81,79,77,73,79,81,80,79,
401,Home Depot,Specialty Retail Stores,Yes,HD, , , , , , ,75,71,73,73,67,70,67,70,72,75,78,77,79,76,73,80,76,76,78,
402,Lowe's,Specialty Retail Stores,Yes,LOW, , , , , , ,75,76,77,76,78,74,75,76,79,77,79,79,82,81,74,79,78,78,78,
404,Microsoft,Computer Software,Yes,MSFT, , , , , , , , , , , ,73,70,69,70,76,78,75,74,75,75,80,76,79,77,
406,CenturyLink,Fixed-Line Telephone Service,Yes,CTL,83,80,76,76,74,70,71,74,73,65,66,64,66,70,68,70,70,66,71,71,70,68,66,66,65,
416,Fox Entertainment,Motion Pictures,Yes,FOX,79,,,,,,,,,,,,,,,,,,,,,,,,,
417,Whole Foods (Amazon),Supermarkets,Yes,WFM,,,,,,,,,,,,,73,75,76,79,80,80,78,81,73,81,81,79,79,
418,Walmart,Supermarkets,Yes,WMT,,,,,,,,,,70,70,69,71,68,71,71,69,72,72,71,67,74,73,72,73,
419,Office Depot,Specialty Retail Stores,Yes,ODP, , , , , , ,,,,,,,78,75,76,81,79,84,79,78,,79,77,77,76,
421,Sam's Club (Walmart),Department and Discount Stores,Yes,WMT, ,75,72,75,78,74,78,77,77,75,76,78,77,79,79,78,81,80,80,80,76,81,80,80,81,
423,TJX,Specialty Retail Stores,Yes,TJX, , , , , , ,,,,,,,74,73,78,76,78,76,79,78,78,80,80,79,79,
424,Albertsons Companies,Supermarkets,Yes,ACI,77,77,72,70,73,70,72,73,73,69,71,,,,,,,,,74,68,75,76,75,75,
428,Kroger,Supermarkets,Yes,KR,76,74,74,73,74,71,75,75,71,73,74,76,75,77,78,78,79,79,80,78,76,79,81,79,79,
435,Chase,Banks,Yes,JPM, ,,, , , , , , ,70,70,72,74,73,68,67,70,74,76,74,71,75,79,80,79,
437,HCA,Hospitals,Yes,HCA,73,,,,,,,,,,,,,,,,,,,,,,,,,
440,Apple,Cellular Telephones,Yes,AAPL, , , ,,,,,,,,,,,,,,,83,81,79,80,81,81,81,81,
444,Dunkin',Limited-Service Restaurants,Yes,DNKN,,,,,,,,,,,,,,,,,,79,80,75,78,80,79,78,78,
445,JetBlue,Airlines,Yes,JBLU,,,,,,,,,,,,,,,,,,81,83,79,81,80,82,79,79,
447,Pinterest,Internet Social Media,Yes,PINS, , , ,,,,,,,,,,,,,,,69,72,76,78,76,78,80,80,
448,Twitter,Internet Social Media,Yes,TWTR, , , ,,,,,,,,,,,,,,,64,65,69,71,65,70,66,69,
449,LinkedIn (Microsoft),Internet Social Media,Yes,MSFT, , , ,,,,,,,,,,,,,,,63,62,67,68,65,65,66,69,
450,Travelers Group,Life Insurance,Yes,TRV,, , , , , , , , , , , , , , , , , , , , , , , , ,
451,Prudential,Life Insurance,Yes,PRU,74,68,70,71,69,71,76,74,73,77,72,76,77,79,77,77,79,79,78,79,77,77,78,77,78,
452,KeyBank,Banks,Yes,KEY,76,70,65,65,,,,,,,,,,,,,,,,,,80,75,77,76,
455,PNC Bank,Banks,Yes,PNC,,69,69,66,,67,,,,,,,,,,,,,,,78,78,78,78,79,
457,Wells Fargo,Banks,Yes,WFC,71,65,62,67,65,67,66,69,68,70,67,72,69,72,73,73,73,71,72,72,75,76,74,74,76,
458,Aetna (CVS Health),Health Insurance,Yes,CVS, , , , , , ,64,65,66,63,65,65,66,65,70,68,67,67,69,65,68,75,74,75,76,
460,UnitedHealth,Health Insurance,Yes,UNH, , , , , , ,66,68,64,66,64,68,65,63,72,65,72,70,70,72,66,70,73,73,75,
461,Anthem,Health Insurance,Yes,ANTM, , , , , , ,,,,,,69,66,68,67,69,74,70,73,66,69,75,,,,
463,MetLife,Life Insurance,Yes,MET,73,74,75,76,73,72,74,75,77,77,71,78,76,78,77,78,77,78,77,76,75,76,77,81,79,
466,Toshiba,Personal Computers,Yes,TOSBF,,,,,,,,,,,,,,,,,,77,78,75,73,76,75,71,77,
467,Dillard's,Department and Discount Stores,Yes,DDS,74,74,73,71,68,72,75,75,75,77,76,75,76,75,78,78,80,79,81,81,80,83,79,79,78,
468,Target (Discount Stores),Department and Discount Stores,Yes,TGT,76,77,73,74,74,73,77,78,77,, , , , , , , , , , , , , , , ,
469,CVS,Health and Personal Care Stores,Yes,CVS, , , , , , , , , , ,74,78,76,77,77,74,73,75,76,75,71,76,78,77,77,
471,Walgreens,Health and Personal Care Stores,Yes,WBA, , , , , , , , , , ,76,76,78,77,77,77,75,76,76,77,74,76,77,77,75,
472,Procter & Gamble,Personal Care and Cleaning Products,Yes,PG,87,85,81,83,81,84,82,81,85,86,82,84,85,85,85,82,82,82,84,82,75,83,82,82,84,
473,Acura (Honda),Automobiles and Light Vehicles,Yes,HMC,,,,,,,,,,,,,,,,,,,83,77,83,76,80,81,78,
474,Spectrum (Charter Communications),Fixed-Line Telephone Service,Yes,CHTR,,,,,,,,,,,,,,,,,,,72,69,69,65,71,66,67,
478,Spectrum (Charter Communications),Internet Service Providers,Yes,CHTR, , , , , , , , , , , , , , , , , , ,65,61,57,63,65,60,59,
479,CenturyLink,Internet Service Providers,Yes,CTL, , , , , , , , , , , , , , , , , , ,64,65,60,63,59,58,59,
481,Xfinity (Comcast),Internet Service Providers,Yes,CMCSA, , , , , , , , , , , , , , , , , , ,62,57,56,59,60,60,61,
482,Target (Department Stores),Department and Discount Stores,Yes,TGT,76,74,72,74,72,72,74,75,73,, , , , , , , , , , , , , , , ,
484,Dollar General,Department and Discount Stores,Yes,DG,,,,,,,,,,,,,78,75,79,80,78,78,80,75,74,78,73,73,73,
486,Macy's,Department and Discount Stores,Yes,M, , , , , , , , , , ,74,71,75,74,71,76,77,78,76,79,73,79,77,77,78,
487,Kohl's,Department and Discount Stores,Yes,KSS,,,,,,,,84,79,79,80,80,79,80,79,81,81,81,81,80,77,79,79,79,79,
488,Nordstrom,Department and Discount Stores,Yes,JWN,83,82,80,79,76,76,76,,,,,,80,80,83,82,84,84,83,86,82,80,81,79,79,
490,Target,Department and Discount Stores,Yes,TGT, , , , , , , , , ,75,78,77,77,77,80,78,80,81,77,80,75,79,77,77,78,
491,Walmart,Department and Discount Stores,Yes,WMT,81,74,76,75,72,73,75,74,75,73,72,72,68,70,71,73,70,71,71,68,66,72,71,72,71,
498,ABC,Network/Cable TV News,Yes,DIS,77,,,,,,,,,,,,,,,,,,,,,,,,,
500,YouTube (Google),Internet Social Media,Yes,GOOGL, , , , , , , , , , , , , , , ,73,74,73,71,73,76,77,74,75,78,
501,Philip Morris,Cigarettes,Yes,PM,81,79,77,75,75,75,75,74,76,78,78,77,76,79,72,77,80,80,,,,,,,,
503,Coca-Cola,Soft Drinks,Yes,KO,85,87,84,82,84,86,81,85,83,83,84,82,84,85,84,84,85,84,84,83,79,81,85,81,81,
504,Keurig Dr Pepper,Soft Drinks,Yes,KDP,85,86,83,88,85,86,85,86,89,84,83,86,86,87,86,85,82,87,86,82,79,86,82,84,82,
505,PepsiCo,Soft Drinks,Yes,PEP,87,86,83,83,82,85,84,86,83,83,82,86,84,84,86,84,85,84,85,83,78,84,85,80,82,
507,Hanesbrands,Apparel,Yes,HBI,81,75,81,77,78,78,76,78,80,79,79,82,82,80,82,81,82,79,81,78,74,81,79,82,80,
509,Levi Strauss,Apparel,Yes,LEVI,83,80,81,75,76,79,80,78,80,80,79,79,80,78,83,81,81,82,82,80,78,81,81,79,77,
511,VF,Apparel,Yes,VFC,80,80,81,79,78,82,84,82,84,79,82,82,84,83,81,85,83,82,81,84,76,80,80,82,79,
512,Adidas,Athletic Shoes,Yes,ADS.DE,80,77,74,74,75,78,73,76,74,77,75,78,77,78,78,82,80,77,80,77,77,83,81,78,83,
513,Nike,Athletic Shoes,Yes,NKE,78,77,74,73,73,78,74,76,76,78,75,72,75,78,79,80,80,80,78,78,78,80,79,77,81,
517,Electrolux,Household Appliances,Yes,ELUX-B,,,,,,,,,,,,80,81,80,79,79,78,82,78,79,81,81,81,78,79,
521,Whirlpool,Household Appliances,Yes,WHR,82,85,82,85,84,86,83,83,82,83,81,82,84,80,83,83,82,83,82,81,80,81,80,79,80,
522,Acer,Personal Computers,Yes,ACIDF,,,,,,,,,,,,,,72,74,77,77,79,77,76,70,78,75,75,77,
523,Apple,Personal Computers,Yes,AAPL,75,76,70,69,72,75,73,73,77,81,81,83,79,85,84,86,87,86,87,84,84,84,83,83,83,
525,Dell,Personal Computers,Yes,DELL,,,72,74,76,80,78,76,78,79,74,78,74,75,75,77,77,81,79,76,78,78,76,73,77,
526,HP,Personal Computers,Yes,HPQ,80,77,75,72,74,74,73,71,70,71,73,75,76,73,74,77,78,79,80,74,73,77,77,78,78,
529,Anheuser-Busch InBev,Breweries,Yes,BUD,80,79,81,81,78,81,80,82,82,79,82,81,82,82,85,82,81,81,81,77,74,84,84,85,84,
530,Molson Coors,Breweries,Yes,TAP,84,79,80,84,78,82,78,79,80,78,82,83,82,83,81,81,81,, , , , ,84,81,81,
532,Campbell Soup,Food Manufacturing,Yes,CPB,81,84,81,80,81,81,81,80,83,79,81,80,83,80,82,82,79,81,84,83,79,80,80,81,81,
534,Hill's Pet Nutrition (Colgate-Palmolive),Pet Food,Yes,CL, , ,85,83,86,82,84,84,85,83,82,83,85,81,80,82,84,83,,,,,,,,
535,Iams (Procter & Gamble),Pet Food,Yes,PG, , ,,,,,80,82,85,82,81,83,82,81,85,80,81,83,,,,,,,,
537,Nestle,Pet Food,Yes,NSRGF, , ,83,83,84,81,81,, , , , , , , , , , , , , , , , , ,
540,Bank of America,Banks,Yes,BAC,67,65,61,62,61,63,68,70,74,72,72,72,72,73,67,68,68,66,69,69,68,75,77,76,77,
548,Tyson,Food Manufacturing,Yes,TSN,80,79,80,79,79,81,80,80,81,79,79,78,78,80,82,77,79,81,80,79,78,82,80,81,80,
549,Conagra,Food Manufacturing,Yes,CAG,83,82,80,80,80,82,81,83,84,82,86,83,83,84,78,83,83,84,83,82,80,80,82,81,81,
551,General Mills,Food Manufacturing,Yes,GIS,81,86,81,82,81,82,83,83,83,84,82,84,83,84,83,83,83,83,87,85,78,84,82,84,82,
553,Hershey,Food Manufacturing,Yes,HSY,88,88,84,84,86,85,86,87,85,87,86,86,87,85,87,86,84,85,86,86,79,84,86,86,84,
554,Kellogg,Food Manufacturing,Yes,K,84,85,81,83,81,83,83,81,82,81,81,85,83,85,85,81,80,83,85,81,80,81,81,81,80,
555,Kraft Heinz,Food Manufacturing,Yes,KHC,84,85,82,84,83,82,82,81,83,84,84,86,84,85,83,81,83,81,86,84,79,83,82,82,81,
558,Nestle (Ferrero),Food Manufacturing,Yes,NSRGF,86,82,83,83,81,84,83,83,83,83,83,84,83,83,85,84,84,85,83,85,78,84,82,82,81,
560,Quaker (PepsiCo),Food Manufacturing,Yes,PEP,82,82,85,83,83,86,86,87,86,86,88,85,86,87,87,86,84,86,87,85,80,83,84,84,84,
