,ma,buy_threshold,take_profit_threshold,stop_loss_threshold,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades
0,647,0.51,0.35,0.98,0.0,0.020757245507208255,0,0
1,843,0.86,0.14,0.92,0.0,0.020757245507208255,0,0
2,212,0.54,0.66,0.34,0.0,0.020757245507208255,0,0
3,1000,0.88,0.58,0.24,0.0,0.020757245507208255,0,0
4,838,0.19,0.46,0.18,0.0,0.020757245507208255,0,0
5,597,0.45,0.8,0.58,0.0,0.020757245507208255,0,0
6,414,0.43,0.03,0.22,0.0,0.020757245507208255,0,0
7,266,0.46,0.68,0.18,0.0,0.020757245507208255,0,0
8,817,0.6,0.5,0.77,0.0,0.020757245507208255,0,0
9,552,0.87,0.88,0.04,0.0,0.020757245507208255,0,0
10,1056,0.94,0.3,0.45,0.0,0.020757245507208255,0,0
11,378,0.14,0.95,0.24,0.0,0.020757245507208255,0,0
12,213,0.19,0.51,0.92,0.0,0.020757245507208255,0,0
13,439,0.0,0.97,0.9,-0.03324819426885173,0.020757245507208255,0,0
14,990,0.74,0.46,0.63,0.0,0.020757245507208255,0,0
15,684,0.25,0.68,0.43,0.0,0.020757245507208255,0,0
16,122,0.03,0.49,0.34,-0.03324819426885173,0.020757245507208255,0,0
17,572,0.54,0.69,0.06,0.0,0.020757245507208255,0,0
18,601,0.79,0.77,0.94,0.0,0.020757245507208255,0,0
19,276,0.6,0.41,0.08,0.0,0.020757245507208255,0,0
20,282,0.07,0.35,0.68,-0.0002695149645054462,0.020757245507208255,0,0
21,46,0.65,0.81,0.41,0.0,0.020757245507208255,0,0
22,509,0.57,0.12,0.15,0.0,0.020757245507208255,0,0
23,32,0.92,0.84,0.85,0.0,0.020757245507208255,0,0
24,476,0.07,0.58,0.74,0.00567790115619915,0.020757245507208255,0,0
25,1010,0.81,0.81,0.88,0.0,0.020757245507208255,0,0
26,730,0.51,0.65,0.05,0.0,0.020757245507208255,0,0
27,389,0.75,0.84,0.91,0.0,0.020757245507208255,0,0
28,738,0.2,0.92,0.88,0.0,0.020757245507208255,0,0
29,972,0.57,0.19,0.39,0.0,0.020757245507208255,0,0
30,174,0.71,0.61,0.87,0.0,0.020757245507208255,0,0
31,250,0.26,0.83,0.11,0.0,0.020757245507208255,0,0
32,916,0.59,0.4,0.88,0.0,0.020757245507208255,0,0
33,355,0.05,0.15,0.2,-0.02650393473520818,0.020757245507208255,0,0
34,84,0.25,0.69,0.93,0.0,0.020757245507208255,0,0
35,1023,0.07,0.96,0.53,0.048790330897663825,0.020757245507208255,0,0
36,587,0.04,0.02,0.77,0.015964888286545076,0.020757245507208255,0,0
37,597,0.11,0.87,0.26,0.10710582656340573,0.020757245507208255,0,0
38,78,0.17,0.09,0.3,0.0,0.020757245507208255,0,0
39,931,0.78,0.47,0.28,0.0,0.020757245507208255,0,0
40,411,0.4,0.21,0.15,0.0,0.020757245507208255,0,0
41,971,0.75,0.82,0.19,0.0,0.020757245507208255,0,0
42,132,0.54,0.13,0.66,0.0,0.020757245507208255,0,0
43,681,0.15,0.5,0.19,0.0,0.020757245507208255,0,0
44,1067,0.08,0.57,0.5,0.048790330897663825,0.020757245507208255,0,0
45,718,0.11,0.51,0.93,0.09218320103559807,0.020757245507208255,0,0
46,623,0.46,0.28,0.67,0.0,0.020757245507208255,0,0
47,945,0.37,0.01,0.58,0.0,0.020757245507208255,0,0
48,669,0.27,0.85,0.87,0.0,0.020757245507208255,0,0
49,541,0.63,0.85,0.08,0.0,0.020757245507208255,0,0
50,363,0.91,0.54,0.82,0.0,0.020757245507208255,0,0
51,254,0.39,0.98,0.3,0.0,0.020757245507208255,0,0
52,668,0.35,0.14,0.8,0.0,0.020757245507208255,0,0
53,804,0.67,0.68,0.54,0.0,0.020757245507208255,0,0
54,262,0.63,0.88,0.25,0.0,0.020757245507208255,0,0
55,470,0.37,0.55,0.44,0.0,0.020757245507208255,0,0
56,944,0.51,0.2,0.57,0.0,0.020757245507208255,0,0
57,121,0.73,0.61,0.87,0.0,0.020757245507208255,0,0
58,960,0.84,0.64,0.49,0.0,0.020757245507208255,0,0
59,135,0.97,0.91,0.6,0.0,0.020757245507208255,0,0
60,149,0.54,0.09,0.47,0.0,0.020757245507208255,0,0
61,774,0.1,0.01,0.24,0.10519557228613019,0.020757245507208255,0,0
62,730,0.9,0.54,0.66,0.0,0.020757245507208255,0,0
63,1045,0.2,0.01,0.35,0.0,0.020757245507208255,0,0
64,345,0.02,0.2,0.18,-0.029413729775875086,0.020757245507208255,0,0
65,844,0.24,0.73,0.38,0.0,0.020757245507208255,0,0
66,164,0.35,0.87,0.05,0.0,0.020757245507208255,0,0
67,716,0.33,0.49,0.14,0.0,0.020757245507208255,0,0
68,858,0.51,0.49,0.12,0.0,0.020757245507208255,0,0
69,358,0.59,0.6,0.82,0.0,0.020757245507208255,0,0
70,988,0.46,0.99,0.11,0.0,0.020757245507208255,0,0
71,374,0.16,0.23,0.94,0.0,0.020757245507208255,0,0
72,921,0.78,0.21,0.86,0.0,0.020757245507208255,0,0
73,1067,0.04,0.95,0.48,-0.0002695149645054462,0.020757245507208255,0,0
74,388,0.97,0.27,0.08,0.0,0.020757245507208255,0,0
75,272,0.83,0.35,0.33,0.0,0.020757245507208255,0,0
76,1029,0.61,0.84,0.34,0.0,0.020757245507208255,0,0
77,400,0.02,0.97,0.02,-0.9897259617724194,0.020757245507208255,0,0
78,1084,0.27,0.89,0.99,0.0,0.020757245507208255,0,0
79,475,0.77,0.67,0.92,0.0,0.020757245507208255,0,0
80,549,0.59,0.72,0.65,0.0,0.020757245507208255,0,0
81,881,0.41,0.13,0.83,0.0,0.020757245507208255,0,0
82,913,0.88,0.77,0.17,0.0,0.020757245507208255,0,0
83,1080,0.77,0.38,0.86,0.0,0.020757245507208255,0,0
84,327,0.48,0.26,0.59,0.0,0.020757245507208255,0,0
85,765,0.92,0.23,0.98,0.0,0.020757245507208255,0,0
86,24,0.29,0.92,0.9,0.0,0.020757245507208255,0,0
87,751,0.58,0.01,0.51,0.0,0.020757245507208255,0,0
88,411,0.04,0.49,0.23,-0.03251236052331119,0.020757245507208255,0,0
89,110,0.11,0.02,0.59,0.0,0.020757245507208255,0,0
90,116,0.61,0.91,0.29,0.0,0.020757245507208255,0,0
91,989,0.44,0.62,0.04,0.0,0.020757245507208255,0,0
92,108,0.64,0.67,0.33,0.0,0.020757245507208255,0,0
93,685,0.99,0.36,0.23,0.0,0.020757245507208255,0,0
94,787,0.55,0.58,0.17,0.0,0.020757245507208255,0,0
95,953,0.09,0.9,0.18,0.048790330897663825,0.020757245507208255,0,0
96,757,0.02,0.97,0.14,-0.10913626885861616,0.020757245507208255,0,0
97,319,0.1,0.81,0.21,0.10710582656340573,0.020757245507208255,0,0
98,170,0.11,0.22,0.92,0.0,0.020757245507208255,0,0
99,89,0.1,0.33,0.74,0.0,0.020757245507208255,0,0
