,ma_length,stop_loss,buy_threshold,take_profit,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,173,0.36,0.12,0.61,0.0,0.009685416287700921,0,0,0.5,0.0,0.05897755649206077
1,796,0.69,0.26,0.99,0.0,-0.01441129575506317,0,0,0.43,0.0,0.05677536149484187
2,480,0.16,0.29,0.65,0.0,-0.04946241542342211,0,0,0.5,0.0,0.055672972909036035
3,818,0.42,0.77,0.58,0.0,-0.03662490870352175,0,0,0.43,0.0,0.061912414870417855
4,836,0.03,0.13,0.78,-0.14458085323516534,-0.0011707006562957645,3,48,0.14,0.09487024126203948,0.054029785213251844
5,106,0.48,0.69,0.61,0.0,-0.011262133708893396,0,0,0.5,0.0,0.05679133063352276
6,825,0.48,0.65,0.1,0.0,-0.036730543555553385,0,0,0.43,0.0,0.061938225831685255
7,706,0.55,0.48,0.14,0.0,-0.03816434134129176,0,0,0.5,0.0,0.05508357732625191
8,630,0.88,0.79,0.86,0.0,-0.0774035548843216,0,0,0.5,0.0,0.05835318102152818
9,896,0.69,0.88,0.24,0.0,0.0065168619127118355,0,0,0.43,0.0,0.052563022436518565
10,867,0.14,0.85,0.4,0.0,0.01231396869273027,0,0,0.43,0.0,0.05152503983855596
11,946,0.11,0.08,0.98,-0.7758045637386942,0.04413899389235065,3,191,0.14,0.29396540457033765,0.04703917719966198
12,938,0.43,0.76,0.85,0.0,0.03900355861614102,0,0,0.43,0.0,0.047610369591712685
13,166,0.15,0.8,0.05,0.0,-0.00957951564096815,0,0,0.5,0.0,0.05693102117670133
14,293,0.07,0.99,0.3,0.0,-0.030524648647891617,0,0,0.5,0.0,0.05566603541927632
15,822,0.72,0.3,0.88,0.0,-0.027649912117612696,0,0,0.43,0.0,0.05976474080705059
16,745,0.28,0.33,0.31,0.0,-0.0029837593886458125,0,0,0.38,0.0,0.05519009801129956
17,972,0.26,0.68,0.18,0.0,0.04668835875101873,0,0,0.43,0.0,0.046779443306470506
18,880,0.51,0.37,0.79,0.0,0.028762417593535483,0,0,0.43,0.0,0.04893278983171114
19,393,0.93,0.88,0.77,0.0,-0.0535368338075809,0,0,0.5,0.0,0.055957642800956164
20,779,0.26,0.84,0.21,0.0,-0.02855281291075973,0,0,0.43,0.0,0.05997661828540541
21,153,0.38,0.99,0.59,0.0,-0.009813887890953166,0,0,0.5,0.0,0.0569111753613281
22,383,0.92,0.96,0.42,0.0,-0.05844474655984078,0,0,0.5,0.0,0.05635009652888037
23,119,0.37,0.28,0.57,0.0,-0.012395519378750719,0,0,0.5,0.0,0.05670090194118187
24,19,0.46,0.74,0.59,0.0,-0.017122978618308582,0,0,0.5,0.0,0.05635586148917472
25,772,0.23,0.57,0.59,0.0,-0.01745263483578774,0,0,0.38,0.0,0.05478785877184661
26,366,0.66,0.22,0.31,0.0,-0.06429941850887189,0,0,0.5,0.0,0.05688758371391871
27,393,0.02,0.2,0.57,0.0,-0.0535368338075809,0,0,0.5,0.0,0.055957642800956164
28,1088,0.32,0.95,0.89,0.0,-0.016749123103654506,0,0,0.43,0.0,0.057286556288975714
29,865,0.86,0.2,0.25,0.0,0.0058026499655334796,0,0,0.43,0.0,0.052695053194714084
30,806,0.74,0.77,0.76,0.0,-0.023717979273568,0,0,0.43,0.0,0.058853534635400474
31,536,0.01,0.47,0.12,0.0,-0.06072914189122813,0,0,0.5,0.0,0.0565509410868355
32,795,0.11,0.88,0.83,0.0,-0.014963656729503172,0,0,0.43,0.0,0.05689546353388005
33,1065,0.65,0.96,0.11,0.0,-0.03704718035928223,0,0,0.43,0.0,0.06201566486917729
34,274,0.25,0.46,0.46,0.0,-0.022936499184842973,0,0,0.5,0.0,0.056003693531832474
35,822,0.57,0.65,0.27,0.0,-0.027649912117612696,0,0,0.43,0.0,0.05976474080705059
36,666,0.45,0.06,0.24,0.019988705776781357,-0.05822279211797887,4,1,0.12,0.05682681412419098,0.05633119337532282
37,366,0.42,0.19,0.77,0.0,-0.06429941850887189,0,0,0.5,0.0,0.05688758371391871
38,887,0.37,0.78,0.76,0.0,0.05196309776861496,0,0,0.43,0.0,0.04629365343643853
39,637,0.94,0.23,0.71,0.0,-0.07704505148056584,0,0,0.5,0.0,0.0583084230665133
40,285,0.8,0.43,0.41,0.0,-0.02816608894712136,0,0,0.5,0.0,0.05575604332702927
41,1034,0.13,0.82,0.3,0.0,-0.021544019066215614,0,0,0.43,0.0,0.05835796387882575
42,756,0.94,0.08,0.72,0.06371462574015441,0.021088496015155833,3,1,0.12,0.042437916670848994,0.05693457106897177
43,34,0.06,0.16,0.06,0.0,-0.029411120351440223,0,0,0.5,0.0,0.0557068422967034
44,712,0.66,0.84,0.26,0.0,-0.03563123375296007,0,0,0.5,0.0,0.0549924677198166
45,1086,0.54,0.89,0.65,0.0,-0.029861113450629695,0,0,0.43,0.0,0.06028533247356396
46,195,0.96,0.21,0.68,0.0,0.010474859404042247,0,0,0.5,0.0,0.05907828017736685
47,27,0.73,0.15,0.11,0.0,-0.024259960737070707,0,0,0.5,0.0,0.055934788727010534
48,909,0.4,0.61,0.81,0.0,0.020827516696966253,0,0,0.43,0.0,0.05011511437362366
49,455,0.0,0.88,0.22,0.0,-0.05719220469237063,0,0,0.5,0.0,0.05624484727797079
50,454,0.31,0.52,0.64,0.0,-0.05949274978917918,0,0,0.5,0.0,0.0564408165328838
51,365,0.48,0.36,0.08,0.0,-0.06503607115776866,0,0,0.5,0.0,0.05696045765828154
52,357,0.58,0.45,0.56,0.0,-0.05577399731233357,0,0,0.5,0.0,0.056129876075636125
53,324,0.5,0.74,0.76,0.0,-0.03961488874687569,0,0,0.5,0.0,0.05544657791036692
54,10,0.01,0.3,0.22,0.0,-0.02200140127228456,0,0,0.5,0.0,0.05605491027302247
55,453,0.17,0.57,0.19,0.0,-0.05707081807017833,0,0,0.5,0.0,0.05623483186049713
56,359,0.65,0.44,0.46,0.0,-0.05572328140357452,0,0,0.5,0.0,0.056125847548380764
57,923,0.81,0.1,0.85,0.08636591011081562,0.008758241634288844,4,1,0.29,0.04426444865940562,0.052154514634191906
58,608,0.99,0.59,0.64,0.0,-0.07852575620202484,0,0,0.5,0.0,0.05849493045746785
59,716,0.24,0.33,0.94,0.0,-0.03329742042746764,0,0,0.5,0.0,0.05492199166469909
60,258,0.71,0.76,0.43,0.0,-0.006174609397648245,0,0,0.5,0.0,0.057233403619435845
61,1062,0.36,0.73,0.01,0.0,-0.03990869865307778,0,0,0.43,0.0,0.06272030484977546
62,887,0.29,0.25,0.07,0.0,0.05196309776861496,0,0,0.43,0.0,0.04629365343643853
63,384,0.91,0.1,0.41,0.06371462574015441,-0.05870696626598493,3,1,0.25,0.042437916670848994,0.05637256885550061
64,843,0.38,0.91,0.85,0.0,-0.009758318803612998,0,0,0.43,0.0,0.05578076141110043
65,666,0.73,0.25,0.33,0.0,-0.05822279211797887,0,0,0.5,0.0,0.05633119337532282
66,720,0.25,0.61,0.05,0.0,-0.039520393348804084,0,0,0.5,0.0,0.05513857837466098
67,367,0.55,0.81,0.83,0.0,-0.06408015523410704,0,0,0.5,0.0,0.05686611722311958
68,220,0.1,0.7,0.42,0.0,-0.0036167828133857327,0,0,0.5,0.0,0.057477704479256694
69,151,0.84,0.41,0.86,0.0,-0.011262133708893396,0,0,0.5,0.0,0.05679133063352276
70,818,0.96,0.73,0.76,0.0,-0.03662490870352175,0,0,0.43,0.0,0.061912414870417855
71,122,0.46,0.79,0.55,0.0,-0.007173816912867448,0,0,0.5,0.0,0.05714194840704975
72,497,0.84,0.94,0.86,0.0,-0.027929562272622888,0,0,0.38,0.0,0.054809165215095754
73,270,0.87,0.03,0.48,-0.029935740084766627,-0.016573037353144304,3,1,0.12,0.05484327544481107,0.056393315695600875
74,390,0.06,0.32,0.19,0.0,-0.0505509715444018,0,0,0.5,0.0,0.05574533663187233
75,71,0.79,0.44,0.28,0.0,-0.02529890384211042,0,0,0.5,0.0,0.055883648359741786
76,784,0.33,0.98,0.65,0.0,-0.03571584041010134,0,0,0.43,0.0,0.06169078831077316
77,621,0.39,0.93,0.72,0.0,-0.08133846036645087,0,0,0.5,0.0,0.05886107738111112
78,596,0.75,0.81,0.08,0.0,-0.06816902469454278,0,0,0.5,0.0,0.05728326831216486
79,386,0.39,0.32,0.49,0.0,-0.058948866700016644,0,0,0.5,0.0,0.05639343404884049
80,157,0.57,0.38,0.87,0.0,-0.008942861225515797,0,0,0.5,0.0,0.05698556301994291
81,886,0.18,0.91,0.19,0.0,0.05766033426020978,0,0,0.43,0.0,0.045849201868632054
82,121,0.62,0.76,0.26,0.0,-0.006623922439739416,0,0,0.5,0.0,0.0571920009641787
83,553,0.09,0.13,0.56,0.15199404419106743,-0.04920531602627043,4,6,0.38,0.04584979321796709,0.05565627673386503
84,1092,0.06,0.53,0.38,0.0,-0.014378169480628533,0,0,0.43,0.0,0.056768172182443455
85,91,0.52,0.52,0.41,0.0,-0.020584467652483784,0,0,0.5,0.0,0.05613649859480193
86,303,0.24,0.5,0.23,0.0,-0.0335100637389375,0,0,0.5,0.0,0.055571579524043214
87,1023,0.87,0.73,0.39,0.0,-0.014543980928242495,0,0,0.43,0.0,0.056804173124215714
88,38,0.89,0.39,0.88,0.0,-0.02881045794308934,0,0,0.5,0.0,0.05573010855959274
89,956,0.14,0.54,0.01,0.0,0.038340673907866885,0,0,0.43,0.0,0.04768868278611848
90,966,0.93,0.11,0.66,0.09271947662401181,0.03391846602545212,4,1,0.29,0.04417350117916326,0.048237268933518845
91,750,0.71,0.33,0.23,0.0,-0.004700127198047688,0,0,0.38,0.0,0.05511643174593035
92,305,0.57,0.51,0.06,0.0,-0.03558886026000696,0,0,0.5,0.0,0.05551871323195072
93,831,0.93,0.62,0.03,0.0,-0.019513545099383522,0,0,0.43,0.0,0.057900567488558374
94,588,0.18,0.75,0.62,0.0,-0.057677438811370774,0,0,0.5,0.0,0.05628520921838073
95,596,0.1,0.12,0.55,0.012456197854410211,-0.06816902469454278,3,24,0.25,0.048739637013133136,0.05728326831216486
96,494,0.36,0.41,0.57,0.0,-0.035514762292990554,0,0,0.5,0.0,0.05498864388708078
97,807,0.96,0.3,0.43,0.0,-0.021587635699083174,0,0,0.43,0.0,0.05836784761236534
98,567,0.92,0.45,0.96,0.0,-0.050838129213273575,0,0,0.5,0.0,0.05576487607540705
99,691,0.26,0.49,0.88,0.0,-0.06698165964558267,0,0,0.5,0.0,0.05715848287323452
