,ma1_length,ma2_length,cumulative_return,cumulative_baseline_return,profitable_quarters,total_trades,quarters_beating_baseline_results,strategy_quarterly_stdev,baseline_quarterly_stdev
0,639,661,0.13971343982048956,-0.020262352725916366,2,20,0.5,0.09232267141683906,0.05982391592910625
1,664,779,0.15837101861662006,-0.020262352725916366,2,4,0.38,0.13176247227687432,0.054844908313995605
2,115,772,-0.04758257927072229,-0.020262352725916366,2,7,0.38,0.051503978105542074,0.05635098369661842
3,975,1045,0.05634527737293782,-0.020262352725916366,3,6,0.29,0.07706792335770021,0.05896503494035269
4,329,560,-0.02715187047752421,-0.020262352725916366,3,4,0.38,0.06489003920322453,0.05736389856813182
5,880,1035,0.26255640836540817,-0.020262352725916366,4,4,0.57,0.06471476727516934,0.05749684497740669
6,611,935,0.20431405754766208,-0.020262352725916366,3,4,0.43,0.13473200720033002,0.05268447463567238
7,820,889,0.28592539352734003,-0.020262352725916366,3,4,0.43,0.12408080176000941,0.052795171708474774
8,587,712,0.11252075258725713,-0.020262352725916366,2,8,0.5,0.07367112456290104,0.05600348710606072
9,1052,1076,-0.03020408110048667,-0.020262352725916366,2,8,0.43,0.05350257542563472,0.059876831753035945
10,954,1003,0.04599160215142284,-0.020262352725916366,3,6,0.43,0.09543912731007273,0.054273734622105094
11,20,1029,0.011715486047524148,-0.020262352725916366,3,9,0.43,0.06563017789030945,0.05649068250587368
12,198,830,-0.06145153774821843,-0.020262352725916366,3,6,0.29,0.11801563702730805,0.06249991868314358
13,286,944,0.14667598406785176,-0.020262352725916366,3,1,0.71,0.0396847460092881,0.05315427938880369
14,874,928,0.2274419859405934,-0.020262352725916366,3,4,0.57,0.08083275641484133,0.05388942563580888
15,50,554,-0.09239525672683102,-0.020262352725916366,3,12,0.38,0.07991723068575902,0.05728066857080794
16,629,883,0.09617484259529929,-0.020262352725916366,2,4,0.43,0.14340641435675716,0.05266809186312586
17,420,731,0.1935388707580703,-0.020262352725916366,3,4,0.38,0.1071078342457845,0.0549390344352931
18,570,692,0.2194137577902524,-0.020262352725916366,3,6,0.38,0.10060291252638788,0.06112447076141883
19,1082,1089,-0.028369416882701115,-0.020262352725916366,2,16,0.29,0.07256973419747977,0.06151995103844573
20,544,648,0.15222633319542145,-0.020262352725916366,2,10,0.38,0.15899362276788337,0.06602759277765449
21,582,1057,0.08059768211269569,-0.020262352725916366,2,1,0.57,0.036857506552376726,0.06393309518030411
22,29,749,-0.03508497113392328,-0.020262352725916366,2,9,0.25,0.0661814619356303,0.05757813307497733
23,545,784,0.13234632685844883,-0.020262352725916366,2,4,0.29,0.05454514569656038,0.05911765165398666
24,840,929,0.10617624275745707,-0.020262352725916366,3,4,0.57,0.058336392355177714,0.053429415994673164
25,578,1067,0.06547129171424704,-0.020262352725916366,2,1,0.43,0.03652959337539611,0.06377693275787541
26,703,1035,0.1853217237649618,-0.020262352725916366,2,4,0.29,0.12487036630978923,0.05749684497740669
27,65,454,-0.2231905730945758,-0.020262352725916366,2,10,0.25,0.07691130521726289,0.06132816778874899
28,609,884,0.11728914597190743,-0.020262352725916366,2,4,0.29,0.11501110545430504,0.05279895860607359
29,60,259,-0.11779160265290389,-0.020262352725916366,3,17,0.38,0.0643481884189419,0.0567323722122446
30,957,1080,0.08491805069334979,-0.020262352725916366,4,4,0.29,0.04417366027694206,0.05952434128392465
31,760,974,0.2323870785839528,-0.020262352725916366,3,4,0.57,0.09734182046611567,0.05290724057338464
32,803,824,0.03283074583711887,-0.020262352725916366,2,8,0.57,0.11461227835599727,0.06262256683633574
33,70,492,-0.07978764472562871,-0.020262352725916366,3,12,0.25,0.07238949283375729,0.055293910733439436
34,407,1018,0.08852671782761345,-0.020262352725916366,3,1,0.43,0.03600769469735053,0.056999965696242244
35,729,923,0.024298916062581943,-0.020262352725916366,2,4,0.29,0.1115972169498582,0.053824401417150905
36,315,890,0.15645765749853524,-0.020262352725916366,3,2,0.29,0.09248616398266647,0.052940154503614285
37,303,910,0.08876946427550458,-0.020262352725916366,3,3,0.57,0.035999748662873,0.05306491953766927
38,399,642,0.11731558324474456,-0.020262352725916366,4,4,0.5,0.04440104555821055,0.06361599908688578
39,514,929,0.06954483461843819,-0.020262352725916366,2,2,0.43,0.06956602748036472,0.053429415994673164
40,471,824,0.09118535501366587,-0.020262352725916366,3,4,0.29,0.11706001209548844,0.06262256683633574
41,1053,1075,-0.040011861759789324,-0.020262352725916366,2,8,0.43,0.052013159162369656,0.05952434128392465
42,78,585,-0.09812571278884186,-0.020262352725916366,3,10,0.38,0.08294358233689701,0.055857425659380275
43,690,942,0.12294411728174426,-0.020262352725916366,2,4,0.43,0.12433936875504899,0.05276561065631701
44,238,870,-0.03407797260646017,-0.020262352725916366,1,5,0.57,0.04517021964953923,0.05386321298837218
45,190,775,-0.1772539012253026,-0.020262352725916366,3,6,0.25,0.1185907626724803,0.05502072426765899
46,603,871,0.0763120118630547,-0.020262352725916366,2,4,0.29,0.12188907178117146,0.05378114225672659
47,3,257,-0.0749193315193355,-0.020262352725916366,4,49,0.5,0.09958083109122691,0.0567323722122446
48,509,537,0.16730895403068913,-0.020262352725916366,3,18,0.5,0.08455714470471831,0.059704831369287746
49,934,1071,0.15679500797553048,-0.020262352725916366,4,4,0.57,0.051167258847022105,0.06312770592718876
50,617,798,0.1409352397726935,-0.020262352725916366,2,4,0.29,0.13215699693679323,0.05897048548129976
51,94,894,-0.10593871928503873,-0.020262352725916366,2,5,0.43,0.06517830686339134,0.05450848316902188
52,131,586,-0.09794324546492428,-0.020262352725916366,3,8,0.38,0.06619991948606373,0.056212545117725915
53,478,799,0.12384202112556242,-0.020262352725916366,3,4,0.29,0.12900411346736745,0.05868981847150356
54,246,703,0.07274196277528722,-0.020262352725916366,3,4,0.38,0.07444209510320839,0.05712454551436733
55,140,620,-0.12549783790616187,-0.020262352725916366,3,6,0.5,0.06457592548227971,0.06427508362743536
56,1014,1051,-0.10387711998988047,-0.020262352725916366,2,6,0.14,0.055815248851397416,0.06057821132138641
57,511,727,0.30089800562301816,-0.020262352725916366,3,6,0.38,0.10703699130508892,0.05600467717974634
58,399,849,0.11992361029451337,-0.020262352725916366,3,2,0.57,0.06845496037980253,0.054097342865902454
59,975,1095,0.013311844855807164,-0.020262352725916366,2,4,0.29,0.04897851918440303,0.057634459649358594
60,1011,1048,-0.10293019722649277,-0.020262352725916366,2,6,0.29,0.05334830007522387,0.06029467867635054
61,315,528,-0.08769265258108994,-0.020262352725916366,3,8,0.38,0.10189629632986018,0.05977797095121614
62,426,819,0.1903044819804227,-0.020262352725916366,3,4,0.29,0.11620231087176036,0.05885112302162086
63,272,474,-0.1690512454205294,-0.020262352725916366,4,8,0.38,0.1123534169734809,0.05768218357443839
64,278,573,-0.14226080894906612,-0.020262352725916366,3,4,0.38,0.10187777879650116,0.05717056516311535
65,452,703,0.17644759145847289,-0.020262352725916366,3,4,0.5,0.13005113593920412,0.05712454551436733
66,728,728,0.0,-0.020262352725916366,0,0,0.5,0.0,0.055614929908789607
67,299,970,0.15081733488890303,-0.020262352725916366,3,1,0.71,0.040330194368672745,0.052801540012801185
68,486,1090,0.07622458889188777,-0.020262352725916366,2,1,0.57,0.03668000027445365,0.06159448099636615
69,98,491,-0.247990446433498,-0.020262352725916366,3,10,0.25,0.09550559221492137,0.05630442429911678
70,133,440,-0.1994343288994752,-0.020262352725916366,3,10,0.25,0.07708614459692359,0.06052427739696874
71,902,987,0.24703620245284985,-0.020262352725916366,3,4,0.71,0.0765119465786299,0.05332556662465868
72,22,391,-0.1947364097224037,-0.020262352725916366,2,18,0.25,0.09528666951488517,0.05917969207625469
73,34,71,-0.18999763293421845,-0.020262352725916366,3,50,0.38,0.05717449844626161,0.0567323722122446
74,674,971,0.08171170461028332,-0.020262352725916366,2,4,0.29,0.12149476356846473,0.052843984264283404
75,591,602,0.10352119139325122,-0.020262352725916366,3,22,0.5,0.08903619712223979,0.06126286288924373
76,518,999,0.0597754910646322,-0.020262352725916366,2,1,0.57,0.036615906048316944,0.05337158655903292
77,666,824,0.03583909780323835,-0.020262352725916366,2,4,0.14,0.15009600933320408,0.06262256683633574
78,377,457,-0.04167453141777444,-0.020262352725916366,3,9,0.62,0.11704781052397457,0.05908460210561884
79,906,1033,0.19246724483082067,-0.020262352725916366,4,4,0.43,0.06392974044611426,0.05666493494854818
80,668,863,0.09242443493325525,-0.020262352725916366,2,4,0.29,0.13935022688230136,0.05748097557352249
81,485,1020,0.0509651435257934,-0.020262352725916366,2,1,0.43,0.03697375259796294,0.0586045086460322
82,1067,1092,-0.05810606276298114,-0.020262352725916366,2,8,0.29,0.07234063526947503,0.06135924419198535
83,519,540,0.09770515624912801,-0.020262352725916366,3,18,0.5,0.07914413597239195,0.06036964673126732
84,139,404,-0.2867602627099767,-0.020262352725916366,2,10,0.25,0.0858465547323926,0.05819967066405502
85,956,1090,0.047295426033375554,-0.020262352725916366,3,4,0.29,0.04616204858891097,0.06159448099636615
86,232,869,-0.14561515587795892,-0.020262352725916366,1,5,0.43,0.06353144803367101,0.0542902511002081
87,564,983,0.08729750399427005,-0.020262352725916366,2,2,0.29,0.09394045697665471,0.05373952431683031
88,796,803,0.008373803002344804,-0.020262352725916366,2,18,0.14,0.12552767461314468,0.05683789340857178
89,910,1040,0.17221005308862214,-0.020262352725916366,4,4,0.57,0.05702286320832859,0.059968906777345794
90,261,364,-0.367215040692087,-0.020262352725916366,1,11,0.12,0.08439928952459283,0.05856970045830984
91,532,656,0.22351800233405283,-0.020262352725916366,2,8,0.38,0.13338323270359784,0.06460809511303099
92,271,1059,0.0945932292225442,-0.020262352725916366,3,3,0.57,0.03586939057857205,0.0662819731561261
93,908,1073,0.1322072678199091,-0.020262352725916366,4,4,0.57,0.04626709177695461,0.06219886080680595
94,277,604,-0.11515694507307328,-0.020262352725916366,3,4,0.25,0.09985452344340981,0.061379499040460916
95,298,533,-0.1132532998815905,-0.020262352725916366,3,6,0.38,0.07688116594652071,0.05975963985993724
96,140,533,-0.17659569717846646,-0.020262352725916366,2,8,0.25,0.07011241280099637,0.05975963985993724
97,1024,1030,0.03887148428911069,-0.020262352725916366,3,18,0.43,0.059881739701275666,0.05686550292392984
98,622,931,0.1607016592830841,-0.020262352725916366,2,4,0.29,0.12253113096045769,0.054198217232068
99,890,995,0.23962074096087083,-0.020262352725916366,3,4,0.71,0.07627657365146814,0.05274258888811645
